,SARS,MERS,Influenza,Ebola
CGNL1,0.0617509065462491,0.1036591320120692,0.20976189445974924,
ESR1,0.06606869520494678,,0.0289505973522764,
OLFML2B,0.04881979426324367,0.06561695320815153,0.0587957727155787,0.03469956498096791
FHL1,0.11563772578152164,0.1574888367304404,0.2635159928980921,0.07031832368435845
OGFR,0.032197373579593486,0.2866634409164938,0.1705623467492591,0.0704218332074226
UBC,0.032197373579593486,,,
F8,0.14863918871340884,0.06812478044258335,0.0289505973522764,0.035056416530723215
LINGO4,0.14595486757191187,,,0.035600190320826536
ILDR1,0.1953073844607364,0.11529982851966226,0.2756763096010022,0.07093409012699425
ARHGEF15,0.12902232450181858,0.11785847497963417,0.17305121298379,0.3761532222791651
LHX1,0.08070579407203987,,0.029176622537939945,
PIAS4,0.12672882264995408,0.05005985335847537,0.1451886642435785,0.06995797635637449
SEMA3D,0.06271939137525938,0.016615079641093412,0.02937681627381337,0.034937466014138115
KRT83,0.1903102268000361,0.16803239332198117,0.059422185372989114,0.3705684764653193
SARDH,0.16860776757642748,0.016076024205327954,0.0289505973522764,0.26177426367521384
SLC6A16,0.16330681075247586,,,0.035107395323545405
GALC,0.08123164269482867,0.01646727411838353,0.02937681627381337,
EGR1,0.4409334222701687,0.49395128859433696,0.26525118986886354,0.2490959548004161
TSPYL2,0.14582138761668192,0.01646727411838353,,
KCNH2,0.18391282505890832,0.20343831417039826,0.058795769545297694,0.1416639824486766
BPNT1,0.11653398704457635,0.2982128501041502,0.08927177837137283,0.07045437686483308
KCNE4,0.1422934735628362,0.016519440773457607,,
KLHL20,0.06445693648729028,,,
TBKBP1,0.20228245168549253,0.03254588330985119,0.05928355136148509,0.21848462058988943
C1QA,0.29259319304278514,0.10121606873754996,,0.14393607493582095
ACSBG1,0.3108102265738924,0.03370677402013975,,
NKD2,0.0820515656557721,0.06642820716640348,,0.035600190320826536
SUV420H1,0.015968530550633325,,0.09146969440714428,0.034937466014138115
CRHR2,0.1168689920886305,,0.0587957727155787,0.14390204444990437
GNG8,0.16034885793231246,,,0.035659665579119086
SCML2,0.25994697075383283,,,
SYNPO,0.2540284233929261,0.032461040590850095,,0.2148040411636012
NRN1,0.1929156542818786,0.15436290380589607,,
TAS1R1,0.1006870677177688,,,
RAB37,0.14552840197670655,0.24719441498745678,,
SLAMF9,0.03229710840308053,0.1388407507263999,0.029538262835001616,0.035659665579119086
HAP1,0.14786624706872178,0.06682324423994979,0.2647008276325235,0.14109024997735786
HES5,0.09581919147541891,0.03232658759437237,,
RAB3A,0.12539901518738938,0.1180050334792125,0.059358253485842886,
WDTC1,0.032197373579593486,0.06466764096400537,0.11163274006700898,0.10547092288079957
ANKRD9,0.015968530550633325,0.016632468526118105,,
COL14A1,0.14344802641279383,0.06617413007200006,,0.13901753773757214
SFTPA1,0.12713179588385293,0.06660641391416805,,
LRP3,0.03229710840308053,,0.0870479999869459,0.03484400489396411
FZD1,0.08065154662416432,0.03232658759437237,,0.034623096791734635
ZKSCAN1,0.06432771715354746,,,
ARID1A,0.015968530550633325,0.11809523708519881,0.20895231477547632,0.10855780828470678
TRIM10,0.1315357013620731,,0.1435616350532627,0.035107395323545405
ASB4,0.0824070770320223,,,
GLI1,0.11848575317688849,,,
CRISPLD2,0.11188004172418091,0.016331061185690107,,
GRIN1,0.20582465289031512,,,0.07290984754770061
DTNA,0.18404739009189136,0.016542625953490528,0.05928355136148509,0.28254660966583456
SLC5A12,0.12874119644421675,0.0323982749817362,0.0293186955117856,
TMEM106A,0.06494200689110344,0.06569342779877554,0.0289505973522764,
LTBP2,0.09735770967141597,0.016304977858153068,,
ATXN7L2,0.03268485612766207,0.032179352709907176,0.1739520361225549,0.035659665579119086
ITIH5,0.11015806980281131,,,0.03541326808047852
EGR2,0.6070655738602642,0.3470735879601458,0.2513483016555484,
KCNJ10,0.09774490131411828,,,
AMN,0.06606869520494678,0.04872854603226782,0.11731975737666812,
PCDHB13,0.08113679549680625,0.13545460940099993,0.058899345796659085,
RHOT1,0.032197373579593486,,,
KCNH1,0.16635388625348888,,,
SHH,0.06578793383881044,,,
CLDN5,0.19146259084697645,,,
RBMS3,0.1455225749818189,0.03256372226854966,,0.1402852579159487
PCMTD1,0.13091997618970447,0.14958517305592056,0.21112799349766406,
SOX17,0.145825974566739,0.09873909842730844,,
TSHZ3,0.5965024543287097,,,
DCN,0.23313536445424587,0.016600588903572834,,0.1049846024562513
PDGFA,0.2028459527104478,0.03292533117749167,0.029577010009686797,
HGF,0.17899659192949524,0.08203163635205729,0.028995802389409107,0.035600190320826536
TRIM35,0.06606869520494678,,,
CCDC120,0.03268485612766207,,0.060262135479106346,
ZC3H8,0.031628955694638056,,,0.07022027729453477
SLC8A3,0.15970916446739056,0.05041050270140379,,
MTCP1,0.015968530550633325,,,
ATF3,0.6401972895892118,0.7278148250679396,0.409385665652293,0.5703445100454729
CLN8,0.2415492726065706,0.049687593425925804,0.11737212796501731,
KRTAP8-1,0.09948969031051735,,,
ICMT,0.1172257562262928,0.08377944854095185,0.14716351300379288,0.14060638854295132
DUOXA2,0.09836419059886078,0.04864723907382051,0.02837584759444624,0.10637880747106533
CNR1,0.04809769587086526,,0.02997093961898612,
MT3,0.19179467015774476,0.048769657362524435,0.11904910652617598,0.3747946141074992
PLCH2,0.06387939985590971,0.0323499730342011,0.24223613179387762,0.2501387411849091
THBS2,0.2619006634569112,0.049920837952089236,0.05905085590454539,0.14355128058285938
NEUROG3,0.0955590109070697,0.06436008780439795,0.14601802410763565,0.03541326808047852
CHRNB2,0.0821409865114764,,,
KAZALD1,0.04849498564937644,0.08122248223068039,0.05983912408939622,0.03484400489396411
TBXA2R,0.09940850185805754,0.09797174795747442,0.28426981138815893,0.13885340837605106
SLC7A4,0.09550348173025627,,0.12061632051930445,
SP5,0.06480093429276419,,0.0289505973522764,
KRT85,0.04708577625179457,0.04761919922875099,0.059289817421930645,0.14060107090149856
PALM,0.13320683236023553,0.06765597183790303,,
TBX1,0.1341058503057977,0.049489773318510684,,0.035659665579119086
MEP1A,0.3336866855492078,,,0.07289717339210505
NPR1,0.12940290586368802,0.050833975238207915,,
HEPH,0.15044074722728307,0.17465982985909215,0.1545487792289687,0.17894318801581446
HDC,0.11124162040130374,0.016632468526118105,0.02988698740716823,0.07047735024148774
CYSLTR1,0.04756447152846276,,0.029544720697449144,0.034504146275149535
CLDN18,0.2247625389297275,,,
RTBDN,0.06606869520494678,0.078327700007653,0.08865806827280139,0.10742055853047866
ELF5,0.3162957660099889,,,0.22587248008563968
RSU1,0.015968530550633325,0.03251059211864168,,
KLRC1,0.20153973434854802,0.13198777675016052,0.3697262454509421,0.14968981574979998
ZBTB10,0.2868206948615877,0.032457717913013544,,
LAIR1,0.14412270091846646,0.05016182985501427,0.029538262835001616,0.10688093159730688
SYT1,0.1591836568195569,0.0328561220051009,0.11909278448342457,
CCL24,0.06606869520494678,0.016206440843013144,0.11163274006700898,0.14227703347479181
MMP17,0.13053063265061285,0.24121813003340858,0.11904910652617598,0.07103890076930948
LYNX1,0.1126523806479854,0.11674753694481842,0.24104466192593704,0.14007942024739178
PPP1R14A,0.06388009173673444,0.11580193273343699,0.08859981429640984,0.14335391302724726
RCBTB1,0.04792410979589,0.033310366395608464,0.02975783015821763,
XCR1,0.1637956213368429,0.03276730474219323,0.08859981429640984,0.14418065962224696
COLEC11,0.2206108277174702,,0.08999902506180592,
ESPN,0.08199135379737195,,0.028866645140458513,
UTF1,0.08181474966066786,0.03256372226854966,0.05928355136148509,0.14231788896798778
GIPC3,0.1314487997622446,,0.058327458010024126,
SCARA5,0.12776825208783077,0.016542625953490528,0.0289505973522764,
PXMP2,0.06428509431592774,0.016675940738679836,,0.03553221859706362
CSDC2,0.08155834378013503,0.016432496348334144,,
GNB3,0.17763106282219043,0.016206440843013144,,0.178097763714782
PPM1E,0.3856337547602361,,,
KCNJ9,0.11386412699085907,,,
PRIMA1,0.09729161817554509,0.26479619389516473,0.0293186955117856,0.33987643648202326
ANK3,0.04748539852056144,,0.1796743676202443,
ARV1,0.015968530550633325,0.016519440773457607,0.028866645140458513,0.10657572171943461
SLIT3,0.06606869520494678,0.032932494552126386,,0.17896158961050135
CHST8,0.11355307148597439,,0.029538262835001616,0.21190707688809216
GLI2,0.08232122694869479,0.0164614778233753,0.0593026427938165,
LGR4,0.06420645910412613,,,
HDAC10,0.09538896952622755,,,
ALKBH4,0.015968530550633325,0.01646727411838353,,
CEBPA,0.04892779320960927,0.01646727411838353,,0.034937466014138115
PLXDC1,0.09474546593297564,0.0328561220051009,,0.07105220197032719
PFKL,0.06452245739120371,0.03256372226854966,,0.03433421696574225
FBXL22,0.08030860334375209,,,
TMEM175,0.032197373579593486,0.01600357051772507,,
ACTN3,0.06446539176706587,0.016304977858153068,0.02975783015821763,0.17940642660567224
CALD1,0.096899194597632,,,
ABCG1,0.19016086302193455,0.016600588903572834,,
KCTD2,0.015968530550633325,0.048917395351959395,0.058966864064214676,
SLA,0.08011442294145948,0.08418222840480474,,
GPR37L1,0.11612689253865478,,,
CDH22,0.08222519690345803,0.03256372226854966,0.08757038062894236,0.10716798425954056
FFAR2,0.0824180475443386,0.032868455352015165,0.08693114885489832,0.2540360055451887
PARP4,0.1152675790169164,0.09627559388839502,0.20455653922828068,0.2565855334476105
KIF3C,0.06451012777735375,0.016342653775706567,0.0574457687765046,0.034623096791734635
HMGCLL1,0.015968530550633325,0.04925577122335296,0.029538262835001616,0.2485689071041166
MOBP,0.16446334126024814,0.04885892196694413,,0.10418767109647223
SLAMF1,0.0816342600988128,0.032782108641078174,,
HAGHL,0.1859525731598714,,,
POLR2A,0.06486792804437501,,,0.2940350598676832
IRX6,0.18529468350719766,,,
DCST1,0.1607668603548095,0.04918358948798082,0.0289505973522764,0.20850853967319155
CD3E,0.09576663268227723,,0.029538262835001616,0.035107395323545405
ARTN,0.14459689285584712,0.01646727411838353,,
ALAS2,0.18066185491479733,0.08354205575643049,0.029538262835001616,0.1067115677303769
KCNK7,0.14732067778113703,,,
TMEM108,0.11137947447433066,,,0.035600190320826536
POLM,0.08222519690345803,0.36241443471382073,0.08878308778462378,0.035659665579119086
JAK3,0.11321463642820334,,,
LGR6,0.1323216820565059,0.03276730474219323,0.08948265876262282,0.1436604160587176
NRIP1,0.03179072328160433,0.10160397928599518,,0.034937466014138115
PTHLH,0.2582579362125253,0.03264925005996451,,0.035659665579119086
CHRNB1,0.1584011418034409,,,
GZMM,0.09948969031051735,0.03276730474219323,0.05928355136148509,0.1436604160587176
GALNT3,0.03214969925654327,0.04926034517199373,,0.06913544952384679
PSIP1,0.04756815540563815,0.03350132637171431,0.02988698740716823,0.14395813908559965
CPXM2,0.4017568281797842,0.06811475167933445,,
ITGB3,0.13257719289828343,0.1036591320120692,,
ACP2,0.03268485612766207,0.08467437566325724,,
GAL3ST4,0.03229710840308053,,,0.1428291655735987
CR2,0.12959732540029742,0.016542625953490528,,0.035107395323545405
PROX1,0.48267631099242236,0.1036591320120692,,0.03447016041326808
PTGIR,0.17852921190263704,,,
RYR1,0.09818318029796765,,,
VAMP2,0.048146397591283634,0.046939838412845235,0.11205006841256371,0.18030298551679083
ALG1,0.032197373579593486,,0.18372196802831253,
THY1,0.03201908494616301,0.03370677402013975,,
SNRPC,0.14282020397644712,,0.08948265876262282,0.21366599078467183
ANKRD2,0.09867804182909247,,0.05983912408939622,
WISP1,0.7425387626999719,0.03337289547338193,,
HOXB6,0.015968530550633325,0.01600357051772507,0.029841782370035517,
CD46,0.08072525368889158,,,
SLC4A8,0.12770739620628968,,,
GFI1B,0.03268485612766207,0.048843386281698375,0.08598321468395335,0.1713562230072712
NEUROG1,0.20646064341629505,,,
SLC24A3,0.25605850987763284,,,
MYO3B,0.07964560248801598,,,
IRX1,0.09622836963738773,0.03320850210483058,,
ADAM21,0.047220248357340344,0.0328561220051009,,0.07153490153631145
F2,0.11519205275787428,,0.0289505973522764,
KCNJ12,0.06469722671781497,0.01646727411838353,,
AQP2,0.16262967381002072,,,0.03541326808047852
CCDC89,0.21555099445410017,,,
CAV3,0.2053818585851922,0.016328163038185992,0.1755912739148732,
PLA2G2D,0.18761370627298526,0.016519440773457607,,
ANXA2,0.09804494063472413,0.10145272510764484,0.11904910652617598,0.18781802634888706
NKX1-2,0.19896422761263846,0.11954616885713552,0.029053923151436872,0.07193434514636744
NDOR1,0.049175703854032665,0.016328163038185992,,
SMCHD1,0.30041422297317993,0.033177849584401446,0.05938365060713259,0.10681916457220211
REST,0.015968530550633325,,,0.035285821098423056
APBA3,0.06480093429276419,,,
TAGLN3,0.16334452012839434,0.08442231321279668,0.17493961635922298,
TTC28,0.14686442899498278,0.16426510883917703,0.029544720697449144,0.10618244598815112
CACNB3,0.04852504550624851,,,
PIK3R2,0.032197373579593486,,,
CPN2,0.04809397149813041,0.0328561220051009,,0.14256178869973074
ACR,0.047735362255712815,0.016632468526118105,,0.03469956498096791
PCSK1N,0.11590546410701494,0.078865202649093,,0.07290984754770061
RAB3IP,0.03229710840308053,,,
ICOS,0.0937654133729689,0.03370677402013975,,0.10773888684800616
VNN3,0.2733300072184014,0.016264403793095454,,
DIO2,0.25127823564783874,0.016568709281027567,,
HCRT,0.015968530550633325,0.04956293011644883,0.25347252360081485,0.033994358346927676
RTN4RL2,0.13132932681134557,0.14737528694479735,0.08651176537977248,0.14418065962224696
TMEM164,0.06527604917549477,0.01646727411838353,,0.034937466014138115
ZFP2,0.13172492394541763,,0.2840905139402951,
KLHL4,0.11775310177726792,0.033579883385287876,,0.034504146275149535
PTMS,0.08227072054278589,,,0.035056416530723215
PIK3R4,0.032110202045087965,,0.09104219877476473,
CD93,0.04710652915574614,0.033519023820301926,,
MRGPRF,0.04881979426324367,0.016542625953490528,0.029538262835001616,0.10811989672415909
CD300LG,0.20118122043392653,0.03245138112090334,0.0289505973522764,0.035659665579119086
NEK8,0.049427007925694884,,,
CITED4,0.015968530550633325,0.016275996383111915,0.0919098213296002,0.07036629265915416
PEX10,0.048447608660969456,,,
DRD2,0.06569861355215327,,0.09013371194303166,
RHBDL1,0.1299724327530926,0.06564091801206075,0.11951604016091315,0.03541326808047852
STMN4,0.23522201195935535,0.2393561665919992,,0.14086688432922073
BRSK2,0.11291685221011136,0.06570516884357247,0.08868939110106293,0.1669337267998514
EMILIN3,0.0824070770320223,,0.029538262835001616,0.03541326808047852
LYL1,0.1616260714188882,0.03292533117749167,,0.035600190320826536
SNX22,0.1455506442757325,0.03309033298843283,0.029531804972554084,0.07290984754770061
LENG8,0.032197373579593486,0.08449913077364417,0.2104100778806975,0.1347837053494447
ADRA1D,0.16356829375164683,,,
ADAMDEC1,0.0794277517060777,,,
MAG,0.20177145477292266,0.1478122188349347,0.17681314423085231,0.035659665579119086
RXFP4,0.03242588211514123,0.20638745215109983,0.0289505973522764,0.1423773483551299
RASD1,0.41272340563680554,0.13339187667543267,0.11523763083874965,0.5005931542804458
CEACAM20,0.20417790264339566,0.06604988143027725,0.11585168695570627,0.10612591512107047
RTN4RL1,0.048640171356494684,0.06759536404554371,0.029648046496609622,
UPF3A,0.015968530550633325,,0.02997093961898612,0.035056416530723215
IL12B,0.4939688543500581,,,
KISS1,0.08103889993979863,0.016542625953490528,0.029538262835001616,
ERG,0.06447082760970739,,,
KIF5C,0.047877602268066,,,0.035540715062533985
HAS2,0.41377841704193796,0.016519440773457607,,
BACH2,0.11522766862392847,0.049855265449673586,0.057869317528848364,0.1442103320577725
KLF6,0.38064235802379087,0.24591987748454225,0.02975783015821763,0.5659511390429319
CKLF,0.0989486405453987,0.03314445677431746,0.11904910652617598,0.035056416530723215
CARTPT,0.13081849796524964,,,
ITGA2,0.11559102692568955,0.050038195882186345,0.18605677948035196,0.2269376161613705
LAG3,0.06371032518235231,0.032678970759302955,0.37177931118719126,0.035107395323545405
EFHD1,0.09653474000733818,,,
VWF,0.30174108986646575,0.2386112973850105,0.08927671338055529,
C1QTNF3,0.06281581425383423,,,
ZBTB12,0.15779050491388094,,,
MYBPH,0.015968530550633325,,,
SLC45A2,0.23758556754645077,0.08271859518723453,0.08855426173042248,0.14316856511251297
WNT1,0.21445130970768822,0.03292477280005079,0.02934452696157572,0.14235474995713232
SMPD3,0.1276945906024562,,0.11680736960488042,0.33204738882816165
SMPDL3A,0.032197373579593486,,,
IL27,0.23630747395498736,,,
RAVER1,0.032110202045087965,0.16460520601072873,0.028995802389409107,0.10889643231268227
SOX18,0.20955737442641487,0.18438885534103397,,
ATCAY,0.09943924043486924,0.016076024205327954,0.02837584759444624,0.2938045509948161
MYH14,0.06251317253949812,0.11579185515802329,0.2607433863487193,0.25618076070636675
H1FOO,0.2354594802805407,,,
PDK4,0.06350801346262652,0.17110810607925114,,0.30668296405078144
POFUT1,0.14939261470599366,0.04996351470013553,0.14744504398941713,
ELN,0.1620234354485112,0.04888658738429394,0.08609620939906508,0.1436604160587176
AADAC,0.1297702457583974,,,0.10902714297618671
ALPI,0.015968530550633325,,0.029538262835001616,0.035659665579119086
KIF5A,0.1833827029556542,0.0328561220051009,,0.14316856511251297
PANK1,0.0803252426766822,,,0.03553221859706362
GLP2R,0.0824070770320223,0.04938736388559106,,0.25205888191423226
ID4,0.24019704137580034,0.1169981439855295,0.0289505973522764,0.03492047308319739
CXCL14,0.06292206797885956,0.016076024205327954,,
SDK2,0.16264910126097362,,,
FXYD4,0.03242588211514123,,,
HSPB9,0.09423522812957377,0.27384258882011764,0.23932288802985258,
ST8SIA2,0.1317268794577435,0.1856085694163262,0.059364093143490566,0.10773888684800616
