,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
ATXN7L1,0.6944140197152245,0.6247680107980428,0.5843080922087694,0.5605020031068592,0.5352935496330627,0.5151566373675907,0.489911058011417,0.4742147210501653,0.44100414638543517,0.4286478391099707,0.3378877400295394,0.30964760254188206,0.2856763044200744,0.2587247040855305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOBP,0.6128833515881709,0.5453574039705303,0.5154251316779532,0.4792330962308818,0.4030996523754283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XRCC2,0.7373357064622125,0.6529441538721106,0.6110883097339079,0.5824135393671815,0.5530127462340664,0.5223687176019819,0.4970795167927792,0.4708548210657936,0.4422210203713739,0.42358793324775257,0.37407680945346844,0.3544916233391086,0.3362412761714859,0.278445971744943,0.2568793402777791,0.24053651266766068,0.20796974985456596,0.21185495118549474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HDAC4,0.697973713033954,0.6235869748608064,0.5884807442369521,0.5582127381244374,0.5288238702201615,0.5010705431597914,0.46488782689499675,0.4381153305203965,0.41220479538489446,0.39593495934959333,0.28243476120137617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KRT85,0.6642250821467689,0.5783701704066138,0.5377932827142758,0.5088300220750537,0.4743144071069874,0.3975659229208949,0.33794636930838534,0.3231364275668102,0.3038579412294904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HIVEP3,0.676341730558598,0.6197064282098869,0.5686777481359875,0.5402256561196953,0.50222093472383,0.471348884381339,0.4068100358422993,0.3527504297546523,0.33261222282314784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C3AR1,0.787513691128149,0.6946178505145941,0.6401258636021616,0.5972120022892649,0.5594824256469674,0.5287919765607383,0.4949555290057086,0.4697609001406481,0.42915089237425824,0.4118741976893446,0.38638601674052026,0.36893414211438325,0.3467098703888326,0.3211149293623532,0.3020833333333345,0.29384003974168005,0.28054101221640476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LTBP4,0.8133899233296823,0.7411844103256284,0.6994664477734455,0.6610661434060991,0.6249517188103514,0.5830516114491769,0.5505774591796098,0.5175808720112524,0.47944835045970896,0.44934745400085613,0.4137124569177736,0.3941363373772377,0.3715520106347614,0.3410652920962204,0.30685763888889006,0.2988077496274228,0.28548574752763234,0.29184100418410003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PACRG,0.6806544359255202,0.6116078960688375,0.5769204459949381,0.5463167361622099,0.5199884125144838,0.4893509127789033,0.4557945041816028,0.3903734958587322,0.32409410492157814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HGF,0.6490279299014239,0.5528935380462291,0.519426773377112,0.49272340773444356,0.4657686365392016,0.4400495830516124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
