,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
ITGAM,0.7134659525631216,0.6447646747752512,0.5963346423896227,0.5671780567178057,0.5364277320799061,0.5019885657469546,0.4812284008796728,0.46434294871794846,0.46390977443609105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SEPW1,0.7477046671767406,0.6624801692226335,0.6222777579435916,0.6022005268867193,0.5814727771249513,0.5566741237882178,0.5237197612315424,0.5018028846153845,0.48546365914786965,0.4141414141414165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DCT,0.6022379495026778,0.5599330160408955,0.5467095085088657,0.5154966682163348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APLP2,0.758416220351951,0.6887890005288207,0.64738783767702,0.6177746784441346,0.5796122209165688,0.558538404175988,0.5074615142946904,0.49098557692307687,0.48320802005012564,0.48200757575757613,0.456636500754148,0.44917582417582397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPP2R5D,0.5995600612088753,0.5581262118808391,0.5426038319647742,0.5179761351309478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GPX1,0.6971117061973986,0.668958223162348,0.6622634773295252,0.6566713156671313,0.6490403446925188,0.6399453144419588,0.6321080741438894,0.6300080128205127,0.6350877192982454,0.6180555555555554,0.5833333333333337,0.5325091575091578,0.4788888888888886,0.34880450070323415,0.31629834254143707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRKCSH,0.5779456771231828,0.507006874669487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRRG4,0.6678462127008415,0.5863299841353781,0.5446269189575152,0.508445684177902,0.4855072463768112,0.47253293562018306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PYCR2,0.590283091048202,0.5460074034902168,0.5220159466857075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CBLC,0.6374330527926549,0.5704212938480522,0.5473640366535759,0.5171238183790493,0.47551899725813024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GHSR,0.6431713848508034,0.5711263881544156,0.5176127573485662,0.49403378273671256,0.4797297297297294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PTMA,0.686973986228003,0.6281068217874141,0.6126978460073783,0.5938323260498996,0.5770661966314143,0.5585384041759881,0.5271756204838197,0.5054086538461533,0.49122807017543924,0.4223484848484864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MDH1B,0.6028117827084927,0.5394412127622069,0.506902296798763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HAS3,0.6084544758990054,0.5133527234267581,0.4858978936094275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DAAM2,0.6501530221882172,0.6142252776308831,0.550101154349637,0.5250271191693788,0.4943204073638858,0.4853343276162063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LMAN2L,0.6231828615149196,0.5890622245725365,0.5699155063667737,0.5485045715171243,0.5161574618096363,0.4199602286850574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DBNL,0.6127582249426167,0.557200775603737,0.5377841247173625,0.506973500697351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WDR48,0.5763198163733741,0.550678653269875,0.5328454123527311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FLOT2,0.7377582249426167,0.6849550502379693,0.6742234916101393,0.6685262668526265,0.6602036819428125,0.6512552821277653,0.6423185673892554,0.6432291666666666,0.6433583959899747,0.635732323232323,0.6014328808446459,0.5718864468864472,0.5050000000000001,0.4571026722925455,0.4226519337016576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGRN,0.6791315990818668,0.6135642517186674,0.5649172914435321,0.5371920037192007,0.5108695652173918,0.4963957245836437,0.44572730128809057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CBX4,0.6302601377199694,0.5393090075797637,0.5061287635368329,0.4847357818069129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MARCKSL1,0.7588944146901301,0.6702802749867794,0.652802570510532,0.6390825972415929,0.6266157461809638,0.614715386527467,0.5934652843229656,0.579727564102564,0.5674185463659147,0.5536616161616164,0.5158371040723986,0.4784798534798535,0.43444444444444413,0.4036568213783402,0.3316758747697979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NEK2,0.6137146136189747,0.5114577824784065,0.4920861597048687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCALD,0.5964996174445294,0.5421293848052177,0.5093419017017736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARV1,0.545141545524101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
