,Sars,Mers,Iv,Eb
PLA2G5,7.003053167807443e-07,,,0.0
STX6,0.0,,,
BDKRB2,0.0003884650379003525,8.242458942927609e-07,,0.0
EMID1,2.2805401446495844e-06,0.0,,
C1QA,0.00019833090339801553,9.473638598149476e-06,,4.02501983572971e-05
ABCA1,9.794455934254084e-06,4.419868654227883e-05,,4.133243529460717e-06
PPP1R1B,4.183548155985136e-06,,1.5182669226083776e-07,1.1154422464413086e-05
TCF23,2.6228364035084626e-06,0.0002697776502898697,2.026098218613685e-06,0.0
ATP1B2,8.241797326525983e-06,2.4571730030549035e-05,2.624321419412653e-05,4.934369348497358e-06
CCNT2,1.8656511749308795e-05,,,
TAT,0.00014132732680206884,,,
MMP19,0.0008761740658024665,3.479607209913545e-05,8.451716162256775e-06,4.979946607960085e-05
CRIP2,1.970321935474595e-05,1.958581110895883e-07,8.837422435595167e-05,
NOG,3.4588268809221384e-06,7.206340770201814e-07,0.0,
BCL2,2.9493788714539853e-05,0.0,,9.655127926337442e-05
SERTAD1,1.1129740564771664e-06,1.1053732040448835e-05,6.0631723098917525e-05,7.228686026665545e-07
ZFYVE28,3.2013179185450714e-06,,,
CCDC69,7.316301635830969e-07,1.788887160233325e-06,0.0,8.420657685538817e-06
NR1D2,8.78959952574326e-05,3.186410664150741e-05,7.590732085676548e-06,
CLDN19,1.326784205493638e-05,2.2274891703491886e-06,4.626140707641591e-06,5.142714643795246e-05
MPP1,1.2007274617656678e-06,0.0,,
FGFR3,0.0,1.1357241251058238e-06,1.726091184740149e-06,0.0
MMP17,3.228165020771689e-05,0.0001291905824098543,1.2602015395331034e-05,5.902964552425486e-06
FBXL7,0.00020274836621208913,,,
NETO1,2.6782034433140522e-06,,,
COX4I2,9.400215956822468e-07,5.8225011316515646e-06,0.0,0.00016663137273023156
PLSCR4,0.0,0.00015797687057724278,,0.0
CCDC15,0.0,6.958692424919372e-08,1.8942323571305447e-06,
TREM1,3.5115270063172165e-06,,0.0,2.7937461874577717e-06
TGIF2,1.0238099879384395e-07,,,1.5491953027324068e-06
ZCCHC2,3.013814669113806e-05,7.111832847739174e-06,,
ATF7IP,1.0183494653201348e-05,7.284335643148812e-07,2.4494486936305996e-06,
FGR,1.6013689370457073e-06,1.1309909625483442e-06,9.711950766486685e-07,
EYA1,4.2043511905789456e-05,5.548093998021924e-06,3.2435062466514055e-05,0.0
PCLO,0.0,,4.787362948993188e-05,1.1154422464413086e-05
GPT2,6.049055137136252e-08,0.0,,0.0
IVL,4.210285222483654e-06,0.0,,
BRD7,0.0,,1.825349988594156e-05,
CRMP1,5.773187494673219e-06,0.0,,4.887323337878255e-06
POM121,0.0,4.4679484172077414e-07,0.0,5.657582698587201e-06
E2F7,6.113807992440537e-08,0.0002592707774990922,0.00011688744073659455,0.0
KLK4,3.874632601177512e-05,,,1.1154422464413086e-05
MME,0.00014862032858355197,0.0006538731261481106,0.0,4.887323337878255e-06
GPR65,2.573403990085947e-06,7.332931917654039e-06,,
CKAP2,0.0,8.821661289801155e-06,9.18603045157154e-06,
ZEB1,0.0006534715495535769,4.859791080349898e-05,4.776599653853281e-06,
LPO,2.4131016652820175e-05,6.05162383213109e-07,,
ANKFY1,2.2675179021070159e-07,0.0,2.2601029654091902e-05,0.0
SLC25A45,1.7419096397256507e-05,0.0,,
AMBP,6.372860031629395e-07,,,
RAP1GAP,2.2753660032050174e-07,3.3571708540951503e-06,1.814094847934461e-06,0.0
TSPYL1,8.549814955735042e-07,,,
DTNBP1,0.0,3.6377176166133106e-06,,
TUBA8,5.112218316362484e-05,0.0,1.2602015395331034e-05,
BAI1,1.5247015828964021e-05,,,1.4964420233919023e-05
DDN,0.0,2.5751890986241777e-07,,
HAP1,5.774098761990054e-05,3.0044042627624503e-06,0.00015036087576636618,2.4839840113339126e-05
STX2,0.0,,,
TBC1D22B,2.2583407134692547e-05,5.709789446034949e-06,1.4652669924922888e-07,
HIST3H2A,0.0,,,
ACO1,4.519414184143108e-05,0.0,0.0004060554788589243,
ITPKA,3.1273820119968327e-07,,,4.153797974147808e-05
PCDH7,1.211528899815831e-05,,,
LST1,0.00020737494922082775,0.00013968386466332213,0.00021994736949106514,
H1F0,3.1273820119968327e-07,6.288331236547904e-06,2.3136997472124897e-05,7.088978170108363e-06
CD2AP,0.0,,0.0,
