,Sars,Mers,Iv,Eb
SPRY4,0.0,1.5221249144667667e-05,9.359239033816623e-06,5.208271233077662e-06
MCM5,0.0,8.847929711285663e-05,1.10770745656878e-06,6.413613956170025e-05
ARSG,0.0,6.657590535414851e-07,1.603739634121392e-05,7.087741562475826e-06
GPBP1,2.5400513594192155e-06,4.447441257472895e-07,,
TRAM2,0.0,0.0,2.3299217436890465e-05,0.0
RBM24,7.558227209382691e-06,2.1501431489883338e-07,,
PPP3CC,1.4914555207735792e-05,,,
WNT7A,4.3294036198606915e-06,,,
CCDC89,9.40833148008359e-05,,,
PRKCH,0.0001522877870692754,,,0.0
RSU1,0.0,1.1200187255886978e-06,,
MARCO,9.400215956822468e-07,1.1315014194735498e-05,,0.0
SMAD7,5.9228618074814395e-05,8.653806723297002e-05,,
SLIT3,2.7460356547052566e-06,3.225907687196929e-07,,8.777811176943316e-05
ZMYM6,0.0,,,
PLCH2,5.143640852675554e-06,1.0855130938182997e-06,0.0002010022715999489,0.00027387572071388276
CYP2E1,2.4124211754405455e-06,,,
MYO7A,4.101963921573084e-07,,,
TDRD7,5.1411573208529924e-05,2.4737948304586482e-05,1.7240867269589837e-05,
BCOR,0.0,6.537235684503576e-06,3.456770000554581e-06,4.758523127474535e-06
TBX6,0.0,0.0,0.0,
AMICA1,6.2504703342844395e-06,1.7093465796561314e-06,1.91178026488858e-05,2.739173620695268e-05
IL31RA,1.9476007875282848e-05,,,0.0
DARC,7.114029205608465e-07,3.0808715215555045e-06,4.913100360794264e-05,
DUOX1,0.00011647271275095071,0.0,9.711950766486685e-07,
TNPO2,0.0,,0.0,7.228686026665545e-07
ARC,0.0072165717469989355,0.0,2.1717525173468305e-06,
ALDH1L1,1.4614721577012201e-05,,,1.1154422464413086e-05
DTL,0.0,0.0,6.793427708883853e-07,
TGFBR1,0.0,,,
FJX1,2.651000992770792e-08,7.321053229371294e-05,0.0,
CD83,9.679445910932473e-07,4.786407743048661e-06,3.2035092546946134e-05,
EPC1,3.6175269002941803e-06,,,0.0
IL18BP,2.411330747622773e-06,2.5675266469586106e-05,,
ZEB2,2.6132396412825213e-05,,,0.0
ENTPD8,0.0,,,
RCC1,0.0,0.0,0.0,0.0001975455585031918
CDR2,4.76270034590065e-06,2.457495552809716e-07,9.554975385076807e-05,0.0
CENPT,3.3106033932349195e-06,4.02654863741796e-07,,8.813513211017494e-07
HIST1H4D,2.8551374716699667e-05,1.233900273113586e-05,9.276672885332212e-07,0.00013930029156142545
BCAP29,0.0,,,
PNPLA5,0.003487078402368071,,,0.0
DTNA,0.0001167166664697844,0.0,1.1337356901814858e-06,0.0003764565924177505
CGNL1,5.5482835630575945e-06,5.9142662629925906e-06,5.598437444018477e-05,
NRXN2,1.4351644395335154e-05,0.0,,
GBP1,0.0004354345064699601,9.701048698937958e-05,0.013781690624330647,
SOX21,9.400215956822468e-07,,,
HSPB9,5.678536914189549e-06,0.00016799350929267315,0.00043074732667235403,
PDXK,0.0,5.407900191571412e-06,0.0,1.2556866766888085e-06
SIVA1,0.0,0.0,,1.9944470595312326e-05
DCLRE1C,0.0,,9.075642571078717e-06,8.420657685538817e-06
TNFSF10,0.0006530119139458962,0.00023460612391900556,2.4389264096619095e-05,0.0023608954304849545
NHLRC2,2.965756156361981e-06,3.013793327041305e-08,,
GFRA4,7.1488732844542845e-06,1.189185531323089e-06,0.0,2.6410379646071778e-05
COQ10B,0.0,,1.5269996394344337e-06,
TSPAN9,0.0,0.0,,
GPD1,8.305846206729045e-06,4.93478195028869e-06,2.026098218613685e-06,8.151993355482983e-05
XYLB,7.869427189931913e-07,2.4028454017595335e-06,,6.358199090280829e-05
AKNA,1.8311549775730392e-06,9.182573383836571e-07,7.753582322119998e-05,0.003459350926466658
NUSAP1,0.0,9.402269994449721e-06,,
CD7,0.0,0.0,,
FXYD2,3.131725056363835e-05,6.871898726616854e-07,,0.0
ATP8B2,2.59223949409881e-06,,,
SF3B4,0.0,,,2.5853803847383284e-06
ALAD,0.0,1.0560204359011692e-06,0.0,1.2787106386301273e-05
HIST2H2BE,2.986771546313032e-06,,,
JAG1,0.0,1.833158459308482e-05,2.208285309579359e-05,2.795582277951014e-05
RUNX1,2.9610134321912077e-07,7.386044818241649e-05,2.6588588539484722e-05,8.813513211017494e-07
TAP2,2.6136066069509457e-05,3.801859954698294e-06,0.0,3.903952261630551e-05
NUPR1,0.0001001815585794161,5.3308151217160825e-06,,
SCN4A,2.8326836433201075e-05,,,5.2622996307990514e-05
RBPMS2,9.189069215625622e-07,,,
IL4I1,0.001988089428018394,0.00019301560432167324,6.440922783196819e-05,
ZFP37,7.518268043630739e-07,0.0,,
GNA15,0.0,0.0,,0.00022389753103484942
PTCRA,0.0,0.0,1.726091184740149e-06,
NLRP12,1.689109633462235e-05,,,
PRKAR2A,0.0,,,0.0
HIVEP2,0.0,1.684485271075558e-06,,9.064083373061413e-06
ACBD4,1.5281600474120048e-05,2.960785216913082e-06,1.379021995037459e-06,
PSMB9,0.00015467140370670332,7.332931917654039e-06,5.103994982966845e-06,0.0
TMSB4X,1.1669305741742124e-06,9.006098431347957e-06,9.158134413692332e-06,0.0
SH2D5,9.224067022560702e-06,8.413691105032724e-05,,2.322961083473048e-05
RIPK2,6.920565487910513e-07,6.779542541249272e-06,1.9609829003262106e-05,
ANKRD9,0.0,0.0,,
PHACTR2,0.0,9.55118240324339e-06,,
ODC1,0.0,2.1189032756711602e-05,1.107949535376153e-05,
SYT3,8.475542074295659e-06,,,4.030449802242084e-05
UNC93A,0.0004148202089070465,0.0,,1.0820740472728433e-06
UNC93B1,3.9207629251663e-08,1.8766869138727656e-05,1.0419187588841113e-05,3.6899369952476285e-06
CPSF3L,0.0,,0.0,
CDH26,0.0,,,
PPIF,3.305543690598439e-06,0.0,,
AGER,0.0,6.143105874556901e-05,0.0008401833300623029,
HRH2,3.2654076321642547e-07,3.378735687023911e-06,4.45436687485315e-05,1.2638354416506437e-05
TBC1D8,3.730866714086119e-06,1.5164946412411684e-06,2.486042956584217e-07,
ICMT,2.5880242286242192e-05,5.09001390981244e-06,2.6884001698678855e-05,4.3759086271653936e-05
CLDN9,0.0,,,0.0
FOXD1,1.7374853887760243e-06,2.9684670869209746e-06,,
IRF2,2.9062613686518093e-06,,,
DRD2,3.0075661757003955e-06,,1.726091184740149e-06,
NXPH4,9.385509107732374e-05,1.411346290174586e-06,,0.0
MMP11,0.0,5.6502217350376145e-06,,0.0
EPHA4,8.699805129508546e-05,,5.121995347516399e-06,
MAP1LC3A,3.870769739191495e-06,3.6841265259370505e-06,0.0,
E2F8,3.2945275977212255e-07,1.0895570435648963e-05,,1.0004575741627746e-05
LPIN3,1.2516123315041724e-06,,5.793350293815751e-07,
ANTXR2,0.0,,0.0,
PKIB,0.0,2.3893155895679744e-06,1.9903889985997607e-05,
PLCXD2,6.611315714501672e-06,,,
RNF183,1.5893451646403665e-05,,,1.1450349893280155e-05
SOD2,6.281265973844525e-05,1.2260887468683997e-05,2.7807276535496328e-05,6.777017220307556e-06
PCDHB9,8.559225666960488e-07,,0.0,
UNC5C,0.00017819339331024014,,,
MCM10,0.0,1.0081876976096562e-05,,6.007029444650992e-07
ATP6V1E2,3.2254336644023787e-07,5.2543454638655386e-08,0.0,
HSDL2,1.7374853887760243e-06,,,
TMEM165,0.0,,,0.0
TESK2,0.0,,,
WFDC2,1.6777415092110056e-06,3.9089706158896194e-05,0.0,8.586190482463111e-05
MST1,0.0,0.0,,7.228686026665545e-07
PLA2G4F,0.0008918290338719521,,4.8562293128519443e-05,
AVPI1,1.6847763272438506e-06,0.0,0.0,
LTBP4,3.4040056867773717e-06,0.0002895598374404962,5.5871261775277786e-05,0.0038715414007046253
RAB28,0.0,,,0.0
CECR2,2.867930402101604e-05,4.254372543263719e-06,8.700352210254008e-05,0.0
WDR52,0.0,,,
APBB1IP,0.0,8.784013153276119e-06,,0.0
ERGIC1,1.112695097485083e-06,0.0,,
NDRG2,7.719843800513694e-06,3.392986870069116e-05,1.2012148475934186e-06,0.0001357306165191899
ESR1,2.7460356547052566e-06,,0.0,
PDZD7,0.0,,,
LAMA3,0.0,7.925468990336561e-06,0.0002243970892392014,
FAS,8.53738600918862e-07,0.0,0.0,
BTC,1.6393297976154094e-06,,,
GATA3,1.238736285273625e-07,0.0,4.231604288246113e-06,
KRTAP8-1,1.3663062845766895e-05,,,
CENPI,2.6135400912726837e-07,0.0,0.0,0.0
PTGER3,6.644105300956701e-05,0.0,,0.0
BST2,0.001991258666735095,0.00024145352998403407,6.190711522584226e-06,
OPRL1,1.3203049115443987e-05,1.6543044284958962e-06,5.083312926260089e-06,3.605863745526252e-05
NINJ2,4.250723763298472e-05,,,0.0
GCHFR,1.2592533961214005e-08,,,7.228686026665545e-07
SEMA3F,8.516927736118898e-07,1.2521613867229164e-07,,
C1QTNF2,0.00010100354899753142,0.0,,
MBTD1,0.0,2.609729460894697e-07,0.0,
LMO1,0.0,,,
PDE1A,7.160663519686615e-06,,,
SNCG,0.0,,0.0,0.0
NEUROG3,2.567097052952201e-05,4.965906026627671e-06,3.269130372973791e-05,0.0
LHFPL4,4.0456481420210515e-06,0.0,3.9617027330518644e-05,3.6899369952476285e-06
LGR6,3.923032440679682e-05,8.334965317320145e-07,4.626140707641591e-06,2.1919826809313822e-05
TAGLN3,9.529328436482903e-05,3.2686755354078527e-06,6.38568557133263e-05,
SLC4A4,0.0,,,2.214414904892829e-06
LAMA1,5.355326224381749e-06,1.108312915535742e-05,,
DAPK3,0.0,,3.872624198796779e-06,0.0014755582181718093
STAB2,3.2747578909321207e-06,3.413944849949721e-05,,0.00017135966361553554
IKBKE,1.2336293420055588e-05,0.0,0.0,0.0
IL27,0.0006369626446091872,,,
USP49,2.1250731794575263e-05,2.4878980340743646e-06,6.924283096693029e-07,
TNFRSF9,0.0008194126178599773,1.0036841799914389e-05,1.5182669226083776e-07,
FBXO6,2.1555499467183984e-06,,,
NUPL1,1.0238099879384395e-07,1.1394790287837814e-05,9.958333429682727e-06,1.0004575741627746e-05
CHRM1,1.99593649594336e-05,0.0,,4.9928301149370984e-06
CAMK4,0.0,3.2897305140553756e-06,,
RTP4,0.0006657337211782206,0.00024151881529322264,9.416538747351263e-05,4.089197301423539e-05
LNX2,1.4812207695949395e-07,2.609729460894697e-07,,
PHC3,0.0,,7.490614015149497e-07,
SGMS2,6.517336697116427e-07,6.0066341992394286e-06,0.0,
PARP12,7.726121259802293e-05,8.780042772234353e-06,2.3880685828210766e-05,
WWC2,9.643670207403309e-06,,,
STX16,0.0,,,
NPR1,3.404153119173844e-05,5.8208885251046e-07,,
CCDC78,0.0,4.0455762598424247e-07,1.758848559485067e-05,
MYBPC3,2.2907957739015683e-06,1.5248098626796717e-05,5.083312926260089e-06,0.0009030004834762082
GSG1,4.582740246724434e-07,1.4750610118795635e-05,0.03963838151175368,1.719816782159396e-05
AADAC,3.198156469998054e-05,,,2.7937461874577717e-06
NR1D1,0.0002863723626931984,0.0003509894573671136,1.7063442877453218e-06,
SCGB3A2,4.83391364144126e-07,1.190196765080861e-05,3.160096125814207e-06,2.9864350826943472e-05
NEDD9,3.994320917723861e-06,1.1215867050306171e-05,1.1971396455500747e-06,1.1468512836034875e-05
RABGAP1,1.4611033562946768e-06,7.77109243343654e-05,5.358714531706076e-06,1.2556866766888085e-06
ANK1,7.709985977344237e-05,0.0,,
F5,2.609213269707893e-06,,,4.774107339792121e-06
MGA,1.041331368481818e-06,1.5217886581244007e-06,1.69483282522737e-06,2.2123377079031707e-05
SAMHD1,0.000562243968134935,0.0004878816007755254,4.047010259748458e-05,0.0
TOR1B,1.036053672541247e-06,9.12692718039609e-07,0.0,
SLC45A2,0.0005161222990145918,1.1523654791964005e-05,8.696024680887933e-06,4.030449802242084e-05
MLXIPL,6.298427597477616e-06,,1.5182669226083776e-07,2.7937461874577717e-06
TMEM158,4.805755396454347e-06,0.0,1.107949535376153e-05,
CTNND2,5.295727272198316e-06,,,
PDE1C,2.4909776497744835e-07,,3.468303635383954e-06,
CTRC,0.0,1.221660447992468e-05,,
HEMK1,3.458603888354941e-05,,,
HBEGF,4.1424043550035557e-07,0.0005406050748463658,0.0010194688496341236,
GPR161,0.0,,1.1165452536010132e-05,0.0
CYP4B1,0.0,1.938483899559085e-06,,
RAPSN,0.0,2.3228769079912925e-07,,
SP100,0.0001045820685188742,1.966375462714781e-05,0.0009229805844208461,0.0
USH1G,5.769299815227327e-06,0.0,,0.0
SH3BP2,8.303011906565916e-06,0.001040947255671003,,
SGTB,1.3318798852779453e-06,2.570737472992502e-07,,
CHAT,5.307127968665075e-05,2.5001064683586997e-07,,3.934251981314485e-06
EGFL8,1.4247237937972149e-05,1.3100880361497139e-06,,
CITED2,0.0,2.326228375582921e-05,1.5930447417905312e-05,7.026130137144822e-06
TCF4,3.78410969071137e-07,,,0.0
GFPT2,0.0025905016244045587,9.203437791618843e-07,0.0,
GTPBP2,0.0,2.050608101620048e-06,0.0,1.3400709515364242e-05
L3MBTL2,1.4824363688947363e-06,,,
RNF38,0.0,0.0,,
TOR1A,0.0,,,
ATG16L2,9.133303944645811e-06,1.6953803049636374e-06,1.6491678333365593e-06,
ARRDC2,7.124972591892425e-05,1.5479564839208077e-06,,5.869159385201911e-07
MYL4,5.549050447462237e-07,2.9887308524117537e-07,,5.5260541585772725e-05
RNF31,0.0,1.9350708114036084e-08,,
SLC30A4,5.478266854694261e-07,,,
CTBP1,1.2299613466267852e-06,,,1.016578954831222e-05
PVRL4,1.7776386998083766e-07,3.936915031023794e-06,,0.0
VEGFA,0.0,0.0001232382535175632,2.486042956584217e-07,
DIO3,2.7878635849987378e-05,1.3784119996607718e-07,,0.0
TG,6.180428245516251e-07,2.867008710655856e-05,1.9414768954999854e-05,
PNKD,1.2592533961214005e-08,6.416115815724404e-06,0.0,8.300023786747814e-05
AKAP9,5.092190060185121e-06,7.525922191009558e-07,,0.0
RHCG,0.0,4.8776443193655585e-05,0.0,0.0
SNX22,4.0267726248956805e-05,6.319798149165697e-07,0.0,1.2556866766888085e-06
F8,5.968118734472945e-05,1.6465596945014064e-06,0.0,0.0
ORMDL2,0.0,,,
LARP7,6.214487433372927e-06,,0.0,2.6444468753534042e-05
SIRT1,0.0,2.787762611441428e-06,7.928420409493492e-06,
ARFIP1,0.0,,0.0,
MXRA8,5.478266854694261e-07,,,
CD177,1.4668031161983954e-06,2.6168680357719482e-06,3.248199896830353e-05,2.960232890388722e-05
KCNAB3,9.330512866379733e-06,,5.359301077008695e-06,4.091287077609633e-06
SLC22A12,0.0,,,
CLIP1,0.0,,,
DOCK8,2.656011381290242e-06,,,
SNX5,1.967316387652567e-07,1.100933128696328e-06,0.0,0.0
KLHL4,3.0956951837952525e-05,1.1958764818536143e-07,,0.0
PARP3,3.331678170378228e-06,0.0,,
ICAM4,1.1878343936151717e-05,1.1860951678580989e-05,5.505692731830528e-05,
KLF7,0.0,3.218763251769284e-06,,5.234207187925504e-06
VIPR2,5.580832644158151e-05,,,
TMED9,1.4611033562946768e-06,1.9342366675627123e-05,5.965055813906757e-06,0.0
SPRY2,0.0,0.00037727451985712965,4.247321451796405e-05,
FGG,8.779374703667967e-05,,,
CISH,1.7776386998083766e-07,1.1200187255886978e-06,0.0,0.0
ZSWIM6,0.0,0.0,,
RBM3,0.0,3.469571627784307e-06,3.765550361410324e-05,0.0
AMIGO1,8.093201263559652e-06,0.0,0.0,0.00016701004381108905
HSF4,2.3875608357429168e-05,,,
WBSCR28,2.037511620162245e-06,,,
KISS1,7.836539674401912e-06,0.0,0.0,
SLC22A17,1.6521038731750773e-06,1.1648393721847555e-05,1.379021995037459e-06,0.0
BCAS3,0.0,8.623004074506761e-07,2.9138142665293565e-06,
THSD7A,7.097209107158304e-05,8.378214504898464e-05,1.5269996394344337e-06,
KIF26B,1.4802508657637688e-05,1.5834306380428655e-05,8.295354940945673e-05,6.340208022764587e-05
TEF,1.7811182703526287e-06,4.175509047606583e-06,,0.0
CHRND,6.05722168103458e-06,,2.026098218613685e-06,
F2,1.9747872169313393e-05,,0.0,
PER2,6.0877446720534384e-05,8.512741366088956e-05,,2.7697735307136894e-05
CKM,0.0004799100219809646,,0.0,
PPP1R14A,3.5321588882837664e-06,3.863465141090246e-05,6.8627790766786865e-06,2.3640004211510932e-05
MEGF10,8.559225666960488e-07,,,
MSRB3,2.0220123153076747e-06,,,0.0
XRCC2,0.0,9.629821987013733e-07,0.00044937141668005207,5.6558423124615006e-05
TEC,1.376080398209143e-05,,,
ANGPT1,3.8235472986195656e-05,,,
ESF1,3.674748318886892e-05,,0.0,
ATP5D,4.796165472736416e-07,8.482666912626701e-05,,
RAB37,1.8422259870777343e-05,9.682904501983151e-05,,
ALDH8A1,1.8331336471129508e-06,,,0.0
TNFAIP6,3.2572234388789936e-06,6.271195670027652e-07,1.6827471820270665e-05,
EIF4EBP2,0.0,2.7408241257647202e-06,,
CHCHD7,0.0,,,0.0
GLIPR1,0.0,4.7858230506228085e-06,,0.0006901856552837965
GPR135,5.842213927711359e-07,,,
TLR3,2.407006973398189e-05,1.529809668524824e-07,0.0,
KLHDC1,1.1331905355489456e-05,4.0730143671813457e-07,0.0,
SYT15,0.0,2.681569178547897e-05,0.0,0.0
CFH,4.110782063321957e-06,2.282651931827791e-06,0.0,7.228686026665545e-07
ZSWIM3,1.3325520272827261e-06,0.0,1.2383482050320267e-05,
CNKSR3,5.336408655104769e-05,0.0,0.0,0.0
AFAP1L2,2.0489257293631616e-06,,,
GPR98,0.0,,,
PHACTR3,0.0,0.0,,
SLC25A27,3.3995175445854932e-06,,0.00013707021382477607,
THY1,1.0891588526642256e-06,7.615775217911007e-08,,
RPL27A,0.0,,,
NRG4,2.4124211754405455e-06,0.0,,
SLC24A4,6.547527178535724e-06,3.9569890391905025e-07,,4.934369348497358e-06
PIM3,3.714360168255722e-05,2.191606712334072e-05,,1.9446485990801093e-05
IGFBP5,0.00019840906074697186,1.0046592865730669e-05,,
FRYL,0.0,4.181181024443893e-06,3.892594623086347e-07,
GRIN2D,0.0,,,
NUF2,0.0,5.407176145057762e-06,,
AATK,2.0704580584119013e-05,4.209836204081289e-06,1.1337356901814858e-06,3.787760900306024e-05
FCGR2B,0.00023143355687652934,1.5103162778207469e-05,,
STS,4.6150549959015886e-07,3.013793327041305e-08,,
GJA4,1.700459706023324e-05,0.0004087257282133858,6.12560681549374e-05,2.013689707893528e-05
RELB,0.00028327164825423564,6.553464733626678e-05,8.724125925705098e-06,0.003205113326980571
MOCS2,0.0,,,
KLK8,0.0,0.0,,
LRRC2,2.564940494735081e-05,1.2449281272206663e-05,1.825349988594156e-05,7.228686026665545e-07
ALX3,3.517203038254367e-07,0.0,,0.0
TRPV6,2.5883506350492446e-06,,,1.0560221409112218e-05
PROX1,0.0004712707079462652,5.9142662629925906e-06,,0.0
ALDH5A1,0.0,,0.0,2.214414904892829e-06
LY6D,3.1557057956735246e-07,7.2152492226325075e-06,8.453342150224911e-07,3.0394824492341697e-05
ABCD1,3.9207629251663e-08,,,
SWAP70,0.0,0.0,,
HNF4G,1.8078074750984335e-06,,,
IFITM2,0.00023894848250726285,0.0,0.0001389152631196838,
LIFR,6.287215228653377e-06,3.893471141857933e-07,,
EFTUD1,0.0,,,0.0
DDX58,0.005642480070156716,0.00015944022699540634,0.0001389152631196838,6.383927822864012e-06
CCDC113,1.0646317061965956e-05,,,
ROGDI,0.0,0.0,,
ACAN,0.0,5.911542726562546e-06,,1.3145812119516749e-05
REV3L,0.0,0.0,9.386761195906926e-06,
SUV420H1,0.0,,1.1971396455500747e-06,0.0
BGN,1.0075700419781315e-05,,,
RTN4RL2,3.1981558648567175e-05,4.2643997057456134e-05,1.0296736431116303e-05,3.343576778378401e-05
GAST,0.0,,0.0001251761181218779,
CPD,8.402316736638072e-08,5.4505038585422535e-06,0.00012159487631310948,
CUBN,0.0002179177294768499,0.0,0.0,
ADAMTS7,4.754980005610083e-07,9.934842726643366e-07,6.7856982934019745e-06,1.2556866766888085e-06
ESPN,8.09992397586811e-06,,0.0,
CNTN4,9.579113393415465e-07,,,
SRGAP3,4.254472465796694e-06,,,
CD38,0.0003286011885980715,3.830377798240801e-06,,4.4027993360652236e-05
KLF2,1.8844246239998294e-06,3.67196845670113e-05,0.0,3.0394645044180654e-05
TERT,0.0,,,
FBXO5,6.517336697116427e-07,1.3233210091583746e-06,0.0,
TGDS,0.0,,,
RAB18,2.9610134321912077e-07,,0.0,
LRRC49,1.967316387652567e-07,,,
TMEM63B,0.0,,0.0,0.0
CD74,1.2466291240806405e-05,2.1031943677456336e-07,,
RHOU,1.2074566309576973e-06,2.0637933046906706e-06,,0.0
KIF5C,1.9794682483006195e-06,,,0.0
NRN1L,4.933206394145703e-06,,9.232959923878535e-07,
CORO2B,8.261351071685794e-07,,,
TRAF7,0.0,0.0,0.0,
TBK1,0.0,6.044309568847725e-08,,
ARHGAP9,0.0,1.884587207748448e-05,2.084917535125634e-05,
FYB,1.6049181928670272e-07,7.332931917654039e-06,0.0,0.0
MTHFR,1.3580856804748116e-06,2.6754091789757793e-05,,1.269365368439945e-06
CBFA2T2,0.0,4.897113524245667e-06,0.0,0.0
ZMIZ2,0.0,2.570737472992502e-07,,
SLC1A3,5.1819095718697386e-05,,9.671226410051628e-05,
PELI1,1.2750149901459754e-07,1.4757837097154811e-06,9.711950766486685e-07,
HEG1,2.3514543743212577e-05,,4.668434277918432e-06,6.945024100998333e-06
HGF,0.00017847880179382364,1.0230272002729644e-05,0.0,0.0
RAB6B,3.427479421765325e-05,4.5681187065506306e-05,,7.088978170108363e-06
CD79A,2.704520000462483e-06,,2.1116076630662627e-05,6.824816832602554e-05
PLK3,1.8333074876352272e-05,0.0001146449302422242,7.727355093139251e-05,4.1687894093249665e-06
USP31,8.024574141423638e-07,2.6225161023069644e-06,0.0,4.738040194923272e-06
OGDH,1.3154167369241651e-06,3.367792423975263e-06,,
PPHLN1,7.293611935900118e-07,,0.0,1.1250361665886686e-05
RPGRIP1,7.777655752323222e-05,2.3228769079912925e-07,0.0,
ASPHD2,2.7179407432663605e-05,,,4.9928301149370984e-06
PTMS,5.492761196339294e-06,,,0.0
CD300E,2.754877240381008e-06,1.9562478732168276e-07,1.1337356901814858e-06,0.0
HCLS1,0.0,7.58448921105157e-06,0.007057405188808689,0.0
TAOK1,2.5049641542687415e-06,1.0639871520463642e-07,,0.0
ABCB10,0.0,,,
DNTTIP2,0.0,0.0,,
REXO1,2.607079822678396e-06,0.0,,5.902964552425486e-06
PTPN14,3.822273832451825e-07,,,
SBK1,5.478266854694261e-07,,0.0,
TOB1,0.0,,1.6984555751210728e-06,
TCF12,0.0,2.2206304766762202e-05,1.5192897521791759e-05,
TSR1,0.0,0.0,,
EYA4,0.0,,,4.0289987596752624e-06
SLC11A1,0.0003560603408990919,1.0748193472738079e-05,4.2988599655237184e-05,
TM6SF2,3.503692566097453e-05,,,0.0
STAT3,0.0,0.0,,1.893390752767146e-05
CHD2,1.6334764799196348e-05,0.00015711784979192213,,0.00046366837781736575
CAMK2G,0.0,,0.0,
ALDH1A3,7.625068449110288e-08,2.7079927000273278e-06,0.0,
FBXL14,0.0,0.0,,
NAV1,5.790867514377385e-06,1.1958764818536143e-07,3.892594623086347e-07,
WDTC1,2.9610134321912077e-07,5.424094007323542e-06,1.9594377224511145e-05,1.0382589348759666e-05
SDK1,1.1138659066285586e-06,,,
LGALS1,0.0,3.396137300996742e-05,,
GPR162,6.650648118524583e-05,0.0,7.922551622356874e-05,
FARSB,0.0,1.9425110728911056e-07,5.115637377507051e-06,
METTL3,1.0528548883511589e-05,,0.0,
STC1,2.5598349293724788e-05,,,
GPR119,2.6135671527046785e-05,8.334965317320145e-07,6.898988522430683e-05,2.773855587135353e-05
PLD4,0.00019910602417543146,2.306325163562158e-06,,
PRRG4,0.0,1.4778296228104929e-05,7.764409315804407e-06,5.7713879524744045e-05
CRIM1,1.3309240692167825e-05,0.0,6.8627790766786865e-06,0.0
SLC25A2,5.69752563765683e-07,,,
LRRN3,0.0,4.216203189871672e-06,8.108924564324997e-06,
DSEL,3.4276568327620617e-07,0.0,0.0,
MSX1,4.771413392443703e-05,2.3380263400515086e-06,5.092811836164761e-05,
LFNG,0.0,2.137536692090723e-05,3.776526508110206e-05,
TPM4,0.0,0.0,,2.7151169643543308e-05
NRIP3,5.64971540608049e-08,1.3708796517796575e-06,,0.0
SEMA3D,6.913274337980637e-06,0.0,0.0,0.0
PPM1J,0.0,,,
PTP4A1,2.1153693452795055e-07,0.0,1.0897226791924126e-05,8.057962648378262e-06
NEDD1,0.0,,,
LRRC14,0.0,,0.0,
RAD51AP1,4.318895689584823e-06,7.370239263571362e-06,9.576929365051257e-06,2.1445190798035573e-05
HEXA,0.0,2.609729460894697e-07,0.0,
MTMR4,0.0,,,6.233561513296078e-06
PTGS2,5.060052167243192e-06,0.00016311704085735025,2.382015251925311e-06,
CYP1B1,5.859843760563264e-06,1.9729284901079023e-06,,
GALNT10,0.0,,,
PPM1A,7.08012510202591e-08,,,
DRD4,5.61005865140952e-06,,,
CPN2,1.0974343777144085e-06,3.9569890391905025e-07,,1.5255447124428337e-05
MOGAT1,1.0679629932156202e-05,,,
PDK4,5.23693636388123e-06,5.0666588160939744e-05,,0.0028098541735691635
FGFR2,0.0,0.0,2.1185173209117025e-06,0.0
NFE2,8.309047189097927e-06,0.0,6.075363367975357e-06,
MSN,0.0,4.274395928872284e-07,3.576708370300517e-06,
TSSK6,4.019720424673408e-06,,,
MYL3,0.0,0.0,,1.4964420233919023e-05
RETN,1.0537741671862234e-05,,,
D2HGDH,9.902792927820105e-06,2.3380111399431294e-06,1.379021995037459e-06,0.0
COX18,0.0,,,
ADAMTS1,3.191065433911082e-05,6.412995736299725e-06,1.5182669226083776e-07,3.200567058072583e-05
B3GALNT2,5.947672843641467e-06,,1.5182669226083776e-07,
NNT,2.9907984660229074e-07,1.3604696761757488e-07,8.430625379600348e-06,
USP36,0.0,3.6506723238452755e-05,,9.815948988673327e-06
GEM,0.0001314747507611992,0.0017061910605135895,2.237550343610844e-06,
IFNA4,4.183165250146715e-05,3.9569890391905025e-07,0.0017492351735490356,0.0016358470047997575
WDFY4,1.1805720803037498e-05,,,4.934369348497358e-06
MGEA5,1.386933852668304e-07,1.4199665716135277e-05,0.0,0.0
TTPA,1.2756780142059919e-05,,,0.0
BTD,2.7556404579936783e-07,0.0,,0.0
SRPK3,7.765532963531878e-06,,,
TCF15,0.0006387574888520298,1.3528297028645978e-06,1.1854487144460886e-05,0.0007674314733074619
OTOS,7.598957855455361e-06,0.0,,0.0
NFATC4,2.0624117755528474e-06,0.0,9.180215384145035e-06,
TLE2,0.0,2.599240449126252e-06,0.0,
LOXL2,2.0347044060546824e-05,0.0,3.3248244961307096e-05,
BBS7,0.0,,,
B3GNT8,3.2654076321642547e-07,1.8869688835286898e-06,2.8337501168520586e-06,5.869159385201911e-07
MYO18B,0.00019589711855870246,,,
FN3K,8.471648678990005e-06,,,
GHITM,0.0,,,
DDIT3,0.0,0.003931546892383141,0.0,4.1687894093249665e-06
ARID1A,0.0,1.4709826794380118e-05,7.00019272983109e-05,1.542823863892217e-05
TLX2,2.5514963589211406e-05,1.3178158305749036e-05,,
OLIG3,2.3187376742324583e-05,,,
ABI3,6.792307693049143e-07,2.9169447392173204e-06,,
NR4A2,2.71884062935031e-06,3.178103811160532e-05,8.572871295201744e-05,
RASGRP1,2.3346405259683217e-06,2.1950513836910403e-06,5.793350293815751e-07,3.747713062673887e-05
SOX2,3.214642251129047e-07,0.0,,
CENPE,9.598171059919313e-07,2.682920154629698e-06,3.790813806599334e-05,
CAPN6,2.903856687760302e-06,,1.1823758390860677e-05,6.148254639040791e-06
