,Number of Increases,Euclidean Distance,Absolute Rank Change,Relative Rank Change,Absolute Change,Relative Change,Combined Score
ACHE,7,0.00021727339999564306,2129.0,0.5738544474393531,4.098684708803421e-06,5.727083857898843,0.015916991198952055
ACIN1,0,0.0,,,,,0.0
ACLY,0,0.0,,,,,0.0
ACO1,23,0.000480565917570922,1173.0,0.6306451612903226,1.8321514812250463e-05,4.377072793999263,0.02481925476945946
ACOT11,0,0.0,,,,,0.0
ACOT7,2,1.4905749179358633e-05,999.0,0.1836734693877551,1.9706433385200039e-07,inf,0.0035801740329071694
ACOT9,0,0.0,,,,,0.0
ACOX1,6,2.090899708214091e-05,614.0,0.1673024523160763,2.787817789799884e-07,0.371083858554819,0.005540681312158411
ACOX3,0,0.0,,,,,0.0
ACP1,0,3.37071410912305e-05,-974.0,-0.27237136465324385,-6.393543253493868e-07,-0.7917123279743122,0.0
ACP2,0,4.874140723131028e-05,-849.0,-0.34330772341285887,-1.4750769569582144e-06,-0.64926613389587,0.0
ACP5,8,0.00010349028991349232,2332.0,0.5295186194368756,2.3167046798246017e-06,6.974379652477375,0.014216405279448894
ACP6,6,9.397681774900581e-05,1851.0,0.45423312883435585,1.78803575253592e-06,3.6808449287709974,0.011236450102574663
ACPL2,0,0.0,,,,,0.0
ACPP,2,2.7971649121018937e-05,1411.0,0.25942268799411655,3.5782396463086664e-07,inf,0.0042181607521514135
ACR,3,6.025970021081822e-06,48.0,0.013904982618771726,-1.6743793608846491e-07,-0.18425548187787688,0.002956259484001418
ACRBP,7,5.7079207723346486e-05,130.0,0.07602339181286549,-2.165115217645973e-07,-0.04300222212998997,0.006709715756216337
ACSBG1,0,0.00021441683438067004,-509.0,-0.5837155963302753,-1.1592179041225061e-05,-0.6441199751508,0.0
ACSL3,1,8.251626739204227e-06,689.0,0.12667769810626953,1.0314533424005284e-07,inf,0.0025836056197588554
ACSL4,10,0.00026300711930400504,882.0,0.4527720739219713,6.69833812079295e-06,1.746561407485038,0.014450834687392312
ACSM1,0,0.0,,,,,0.0
