,Number of Increases,Euclidean Distance,Absolute Rank Change,Relative Rank Change,Absolute Change,Relative Change,Combined Score
CXCL11,42,0.013068868331306513,388.0,0.8508771929824561,0.0009346033815040978,12.35699658879058,0.05536630377020295
CXCL12,6,0.0012443251166614068,-109.0,-0.5240384615384616,-0.00015019160657691862,-0.6171430968310415,0.007159517837084021
CXCL14,5,9.729153746372511e-05,2665.0,0.5062689969604863,1.60241790021528e-06,inf,0.004905971367387245
CXCL16,0,2.453129397626712e-05,-861.0,-0.2702448210922787,-1.088890961911566e-06,-0.7561652604266966,0.0
CXCL2,39,0.15073952797051735,3.0,0.3,0.007366293249425265,0.48457049829192994,0.05611925436822016
CXCL5,17,0.013971188376557144,-8.0,-0.38095238095238093,-0.0021085028094343,-0.4010824100618841,0.019208017758149627
CXCL9,23,0.00031883272803315157,198.0,0.25417201540436457,3.0520910971539467e-07,0.010284824356602745,0.009553486575130813
CXCR3,9,0.00013671496334158274,76.0,0.07465618860510806,-4.681923109506276e-06,-0.261861776046971,0.005592527639807426
CXCR4,0,0.0,,,,,0.0
CXXC1,0,0.0,,,,,0.0
CXXC5,3,2.9572482732479018e-05,962.0,0.20976886175316178,2.8438977841021484e-07,0.9247897835557091,0.0037127010376272053
CYB561,0,5.4509552386704795e-06,-332.0,-0.08129285014691479,-3.5202387979610476e-07,-0.6326519867262987,0.0
CYB561D1,7,8.893681236956503e-05,1891.0,0.4686493184634449,1.8663319944870334e-06,3.196192113366642,0.007452713192257243
CYB5B,0,5.1530289574903244e-05,-1112.0,-0.4711864406779661,-2.581892249383762e-06,-0.788387679742748,0.0
CYB5D1,3,8.185389333085404e-06,534.0,0.10362895400737435,6.514149215716612e-08,0.7922163613926103,0.0026285372277059516
CYB5R3,3,9.996266153290385e-06,275.0,0.06332028551692379,-6.764837414432306e-08,-0.16510028022243411,0.002277223855719948
CYBA,17,0.002947798044054822,-17.0,-0.17894736842105263,-0.0003141728699023585,-0.3898674594091485,0.013256943700686818
CYBB,4,2.0349273280517862e-05,1126.0,0.22104436592069102,2.6516436078953933e-07,2.2091274458747505,0.00413171682749613
CYBRD1,9,0.00013599030435471852,893.0,0.37919320594479833,2.366094353516612e-06,0.7194841411683435,0.0070250999702756115
CYC1,0,1.607021655743126e-05,-555.0,-0.20872508461827755,-1.5481334698381573e-06,-0.6378467846150393,0.0
CYCS,3,1.700254093866746e-05,-187.0,-0.09775222164140095,-2.5842672565857527e-06,-0.5011376668667405,0.002263504618758794
CYFIP1,0,0.0,,,,,0.0
CYFIP2,0,0.0,,,,,0.0
CYHR1,0,0.0,,,,,0.0
CYLD,18,0.0001522400640106877,3496.0,0.7152209492635024,6.103557154605835e-06,31.09627847922366,0.018194401241957564
CYP17A1,10,0.0001379094653726035,218.0,0.15694744420446363,-1.3011216780182978e-06,-0.13011506506147966,0.0060254347052406025
CYP1A1,27,0.0016894408597348189,1933.0,0.867205024674742,9.904530861915405e-05,26.648407952499948,0.035686567728606775
CYP1B1,9,2.6778726488262425e-05,1064.0,0.23441286627010355,3.6498550127500796e-07,1.1231047290444107,0.004891871174059262
CYP20A1,1,4.128408470979807e-05,-546.0,-0.24920127795527156,-2.4965519979750664e-06,-0.6391368102145404,0.0019605268765841093
CYP24A1,0,0.0005891737542629487,-316.0,-0.6680761099365751,-5.07529438273956e-05,-0.7410258195315027,0.0
CYP26B1,0,0.0,,,,,0.0
CYP27A1,8,8.832860696452595e-05,1296.0,0.3891891891891892,1.4935599811194509e-06,1.218223612907319,0.006529974398192751
CYP27B1,0,0.0,,,,,0.0
CYP46A1,10,0.0002946942830525484,3259.0,0.7497124453646192,9.629675002036215e-06,23.661384723781783,0.017378431693182827
CYP4B1,5,6.489833222593559e-05,1548.0,0.3655253837072019,1.0059286140638386e-06,2.146484686759758,0.005858468003016455
CYR61,1,0.015712834329104634,-56.0,-1.435897435897436,-0.0021594824462153267,-0.7749797435152707,0.006999295649176284
CYSLTR1,3,4.7763893461143276e-05,1499.0,0.3052953156822811,5.496364057177785e-07,2.91921418857618,0.005027788908175783
CYTB,0,0.0,,,,,0.0
D2HGDH,7,7.096075693090628e-05,741.0,0.2668347137198416,5.404069382894501e-07,0.248223065790222,0.00514223919378331
DAAM1,0,0.0,,,,,0.0
DAAM2,6,0.000267351676261642,-49.0,-0.08611599297012303,-2.4528433008664806e-05,-0.47707398100733267,0.0054277326204002305
DAB2,1,4.6620875270087024e-05,-462.0,-0.25882352941176473,-3.87017813966126e-06,-0.6357549168641862,0.0020244493324763136
DAB2IP,2,1.2373012827433173e-05,-90.0,-0.029950083194675542,-7.688849230331253e-07,-0.43797000389453183,0.001954604767616208
DAG1,2,0.0009083176508351182,-75.0,-0.25862068965517243,-7.32266708696665e-05,-0.5116189162781498,0.0054428441311309625
DAGLA,2,0.0016122241165634822,-152.0,-0.7562189054726368,-0.0001870304803957919,-0.7116743770435052,0.005314417918842299
DAGLB,0,0.0,,,,,0.0
DAK,0,0.0,,,,,0.0
DAND5,7,8.48152522816936e-05,980.0,0.3190104166666667,9.639190282069594e-07,0.5900120497008446,0.005729406395007186
DAP,0,7.67242840659613e-05,-447.0,-0.34096109839816935,-7.40520901987325e-06,-0.6651929557980748,0.0
DAPK1,0,1.930905623138453e-05,-693.0,-0.2026315789473684,-7.944419690694021e-07,-0.7105960746011869,0.0
DAPK3,1,0.00011743630375088879,-374.0,-0.3839835728952772,-1.2623880505498014e-05,-0.6553004515234147,0.0024942516892737026
DAPP1,13,0.00012738258711327748,2458.0,0.5775375939849624,3.1022966195343936e-06,6.707842525506964,0.01114705274175694
DARC,0,0.0,,,,,0.0
DARS,0,0.0,,,,,0.0
DARS2,0,1.3674258604678709e-05,-536.0,-0.16043100868003593,-7.784586490463409e-07,-0.6412654936144766,0.0
DAXX,0,0.000370996620071723,-365.0,-0.5915721231766613,-3.345605499576487e-05,-0.7308296903984992,0.0
DAZAP1,0,0.0,,,,,0.0
DBF4,4,1.9070571974652925e-05,-57.0,-0.027576197387518143,-1.949642450351802e-06,-0.4359873428613325,0.0025926004102559837
DBI,0,0.0,,,,,0.0
DBN1,0,2.3144430554617323e-05,-648.0,-0.2205582028590878,-1.2628186719693603e-06,-0.6711161530844739,0.0
DBNDD2,0,0.0,,,,,0.0
DBNL,0,3.25873679088833e-05,-793.0,-0.31269716088328076,-1.938764010913554e-06,-0.7095528732159823,0.0
DBP,0,0.0,,,,,0.0
DBR1,0,0.0,,,,,0.0
DBT,0,0.0,,,,,0.0
DCAKD,2,3.3391987454548576e-07,104.0,0.021711899791231733,-1.0321606657621935e-07,-0.45032482928796636,0.0007903825813552656
DCBLD1,0,0.0,,,,,0.0
DCBLD2,0,0.00010601277350821434,-690.0,-0.5114899925871016,-7.844821691695444e-06,-0.7428914246331533,0.0
