,Number of Increases,Euclidean Distance,Absolute Rank Change,Relative Rank Change,Absolute Change,Relative Change,Combined Score
SDCBP,1,0.00024361399277320213,-339.0,-0.4011834319526627,-7.987016451619736e-06,-0.4833120577732521,0.004988041114918861
SDCBP2,3,1.626070867292607e-05,597.0,0.1398453970484891,2.373244064973454e-07,0.7378780354195694,0.004860302825210902
SDCCAG3,0,0.0,,,,,0.0
SDF2,0,1.1234393206498848e-05,-430.0,-0.1240981240981241,-2.820193746673718e-07,-0.3999903396028753,0.0
SDF2L1,0,0.0,,,,,0.0
SDF4,3,2.1609970408089184e-05,1470.0,0.26091586794462196,2.9687781444314266e-07,inf,0.004608002251746089
SDHA,3,2.443910818142387e-05,-74.0,-0.03743045017703591,-3.65078403026866e-07,-0.11922099275133599,0.00444347130969141
SDHB,0,0.0,,,,,0.0
SDHC,0,0.0,,,,,0.0
SDHD,2,9.54665849423369e-06,916.0,0.164985590778098,1.179233042948973e-07,4.6954992681517975,0.005187579600678805
SDK1,0,0.0,,,,,0.0
SDK2,0,0.0,,,,,0.0
SEC13,2,1.5176999024521376e-05,26.0,0.008766014834794335,-7.637423215980117e-09,-0.006630735470721528,0.003694551447461174
SEC14L1,2,1.89382086881667e-05,1326.0,0.23535676251331203,2.423606085495081e-07,inf,0.004017229659063436
SEC14L2,0,6.353011526507122e-06,-55.0,-0.01142263759086189,-9.622585569380743e-08,-0.572322872701179,0.0
SEC14L4,7,0.0009536695924038203,76.0,0.13693693693693693,5.2687609168220145e-06,0.14637591171196815,0.014976192327809536
SEC23A,0,6.563113082185996e-06,-158.0,-0.03665893271461717,-1.1753617060896228e-07,-0.3813595401962675,0.0
SEC23B,0,7.24219505489151e-06,-179.0,-0.04087691253710893,-1.2217123763373002e-07,-0.4242638586673203,0.0
SEC24A,6,4.189086990446102e-05,387.0,0.15170521364170914,6.905515687994783e-07,0.40724675003279687,0.006955904958421169
SEC24B,0,5.764446975556311e-05,-595.0,-0.3153153153153153,-1.605206167243231e-06,-0.47280620593308104,0.0
SEC24D,3,2.914328167862962e-05,-122.0,-0.061152882205513785,-4.599357716647234e-07,-0.15366763465506345,0.004583358005977892
SEC31A,0,2.0676206511078786e-05,-532.0,-0.17798594847775176,-4.716267461897286e-07,-0.41834930735627207,0.0
SEC31B,0,0.00148590807898212,-92.0,-0.34328358208955223,-6.321307556042309e-05,-0.46441461706609477,0.0
SEC61A1,4,0.0003007377868340296,-53.0,-0.0974264705882353,-9.232035889380042e-06,-0.2425872538875842,0.008545318178368259
SEC61G,0,0.0,,,,,0.0
SEC63,0,4.1557379920417184e-05,-565.0,-0.22420634920634921,-7.614526346645411e-07,-0.43338874741431194,0.0
SECISBP2,0,0.0,,,,,0.0
SEH1L,2,1.1950375344354341e-05,1032.0,0.18692265893859808,1.531933062791903e-07,4.883245340888661,0.005545787274193946
SEL1L,1,3.578997493925231e-05,-560.0,-0.22589753933037515,-7.640084360948972e-07,-0.42148025195441324,0.0032603355215745176
SELENBP1,4,3.0094010273261513e-05,789.0,0.185997171145686,3.7880171325537095e-07,1.148496927164054,0.0064577142318533
