,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73
SLC24A4,0.6503886659979939,0.5767211345012023,0.5380403623437682,0.5062998878553975,0.46241126718017733,0.4054158110882893,0.3668678245510759,0.3301581996435046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANXA2,0.7722542627883651,0.6803326954217578,0.6295436303176243,0.5858565868460982,0.5503700347379551,0.5199777549623535,0.4941615150623092,0.46975267379679053,0.43657984144960404,0.41272231784280217,0.38551288283908813,0.36614064230343274,0.35976619077177663,0.34393939393939227,0.3283926728586159,0.3176194539249143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARHGEF9,0.6024949849548646,0.5356985131753276,0.5054466230936829,0.44346592783164035,0.3577631777676933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GPR113,0.7022943831494484,0.593773001619314,0.5427129916294003,0.5116432482353717,0.4814982631022479,0.44631245722107665,0.41978216073005375,0.3827150178253154,0.2598024411727724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LZTR1,0.6191700100300903,0.5600127582315129,0.5278924435271195,0.4975592057523573,0.46628152847001253,0.42430270362764694,0.3973358846040613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FOXE3,0.7058676028084253,0.6140880317974385,0.5680827886710241,0.5330826571673586,0.4939963751699087,0.4591461327857573,0.4180158963791559,0.3863357843137297,0.35629797407827585,0.29232644865175267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MX2,0.850050150451354,0.7884587074930076,0.7540993005389289,0.7225410647140312,0.6967603081105572,0.6657255304585897,0.6457168089490725,0.6168672014260245,0.5924877312193281,0.5706755593803794,0.5525846702317295,0.537144702842378,0.5279846885992141,0.5160839160839152,0.4935500515995865,0.48037542662115945,0.4699936326010817,0.4716177003989843,0.4770755885997525,0.47986111111111135,0.4985654668753262,0.5048313321898228,0.5055764411027568,0.498336727766463,0.5087425595238094,0.5273136773136773,0.51604609929078,0.5188824662813102,0.5327956989247312,0.5196759259259259,0.506172839506173,0.48723118279569894,0.502262443438914,0.5234375,0.5317919075144508,0.5341614906832298,0.5273972602739726,0.5736434108527132,0.576271186440678,0.5856269113149848,0.6183333333333334,0.6180555555555556,0.6348314606741573,0.6275720164609053,0.6066666666666667,0.6056338028169014,0.6287878787878788,0.626984126984127,0.6120689655172413,0.6226415094339622,0.59,0.6022727272727273,0.5658914728682171,0.587719298245614,0.6142857142857142,0.6212121212121212,0.5909090909090909,0.5454545454545454,0.5483870967741935,0.5416666666666666,0.5902777777777777,0.5952380952380952,0.5238095238095237,0.5,0.42500000000000004,0.4411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAIAP2L2,0.654839518555667,0.5816772167427254,0.5467262928563239,0.5163599182004083,0.4891632683884597,0.4594455852156019,0.437788244529486,0.41811497326203206,0.3900213917201504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH3BP1,0.668505516549649,0.6164433976151922,0.5855406490081414,0.5692657827033442,0.544781755021899,0.5268651608487318,0.5121675988617398,0.4966020499108735,0.479709324273312,0.4609509466437197,0.442796953492142,0.42838685861941633,0.4230291744258217,0.4121212121212113,0.3952528379772953,0.38196814562002224,0.3681152499204078,0.36425462459194813,0.34613795952085946,0.3073379629629631,0.2954094940010434,0.27893081761006283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IRF2BP1,0.5643806419257773,0.5262034447225087,0.4906260749914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
