,Number of Increases,Euclidean Distance,Absolute Rank Change,Relative Rank Change,Absolute Change,Relative Change,Combined Score
AAAS,0,2.8075554197548916e-06,-63.0,-0.023533806499813223,-9.408944003313286e-08,-0.03488549811024089,0.0
AACS,0,1.600799477011194e-07,-100.0,-0.016957775139901644,-3.2015989540223823e-09,-0.026375395002759806,0.0
AADAC,0,9.696338899193083e-06,-102.0,-0.049707602339181284,-3.9386166242970384e-07,-0.08381642665748552,0.0
AAK1,0,0.00020976608513422452,-3.0,-0.011538461538461539,-1.32575766492259e-05,-0.060864882902217664,0.0
AAMP,0,4.707539792006304e-07,-83.0,-0.01569888405522981,-1.0092033419027327e-08,-0.036369977169186454,0.0
AARS,0,5.090943070143808e-06,-77.0,-0.0308,-1.4941008547395078e-07,-0.047339699923008245,0.0
AASDHPPT,0,7.477172442093976e-07,-61.0,-0.014071510957324106,-2.031894954194985e-08,-0.029325898203259707,0.0
AASS,0,6.819531933588083e-06,-92.0,-0.03576982892690513,-1.810170206315905e-07,-0.06112948834972711,0.0
AATF,0,1.301852484794726e-06,-74.0,-0.020279528637983008,-4.468938880831339e-08,-0.03649249950423605,0.0
AATK,12,5.8397775918130105e-05,76.0,0.06495726495726496,2.0925908126379804e-06,0.14143676045196607,0.01687941108452993
ABAT,0,2.7255771490119845e-08,-99.0,-0.015505090054815976,-5.451154298023973e-10,-0.025669982714794832,0.0
ABCA1,0,3.948914077524195e-05,-53.0,-0.04902867715078631,-1.51070585542768e-06,-0.0879890256943941,0.0
ABCA3,2,6.094416955802895e-05,-22.0,-0.03806228373702422,-3.236175707481382e-06,-0.06411794782109453,0.009442029375663654
ABCA5,0,6.192109031210175e-06,-55.0,-0.023686477174849268,-2.0186385949878467e-07,-0.054258030411692054,0.0
ABCA7,0,0.0,-101.0,-0.01567836075752872,0.0,,0.0
ABCB10,0,0.0,-101.0,-0.01567836075752872,0.0,,0.0
ABCB6,0,1.5260469108484138e-06,-79.0,-0.02195664257921067,-4.6302248401733314e-08,-0.03668420062946093,0.0
ABCB7,0,0.0,-101.0,-0.01567836075752872,0.0,,0.0
ABCB8,0,5.17670421401017e-07,-107.0,-0.018961545277334752,-1.0353408428020318e-08,-0.05754801744107222,0.0
ABCB9,0,7.288272345213904e-07,-102.0,-0.01954022988505747,-1.4714278957881725e-08,-0.04994697590284199,0.0
ABCC3,0,1.3422282630112437e-07,-102.0,-0.017453798767967144,-2.684456526022481e-09,-0.02046576961090199,0.0
ABCC4,0,0.0,-101.0,-0.01567836075752872,0.0,,0.0
ABCC5,0,1.2711985540162125e-07,-105.0,-0.016897328612809785,-2.5423971080324297e-09,-0.040559751139492624,0.0
ABCC8,0,4.4876467379712795e-07,-102.0,-0.018276294570865437,-1.0452742871826513e-08,-0.05309968691425527,0.0
ABCD1,0,2.658838858684829e-06,-181.0,-0.036565656565656565,-5.5374207820229926e-08,-0.14280078465159501,0.0
ABCD3,1,7.297214795946602e-06,-56.0,-0.026755852842809364,-2.4025687580222956e-07,-0.05268958042470284,0.004727938800806059
ABCD4,0,1.37235876128712e-07,-106.0,-0.017014446227929372,-2.7447175225742453e-09,-0.0459813938596364,0.0
ABCE1,0,2.2570230102979248e-06,-84.0,-0.02385685884691849,-6.146670692735507e-08,-0.04584999611202363,0.0
ABCF1,0,1.2740624235497138e-06,-71.0,-0.019749652294853964,-4.1697610889485784e-08,-0.032826054534562776,0.0
ABCF2,0,4.82546382703783e-08,-105.0,-0.016749082788323495,-1.294889841612486e-09,-0.02618703877089899,0.0
ABCF3,0,0.0,-101.0,-0.01567836075752872,0.0,,0.0
ABCG1,9,3.6468327292199294e-05,124.0,0.08671328671328671,1.930447816790935e-06,0.1958510522740921,0.014378365558928694
ABCG2,0,1.4559202622697996e-06,-74.0,-0.018546365914786967,-3.544098494361061e-08,-0.03793555710744996,0.0
ABCG5,0,7.122179899043462e-07,-114.0,-0.020655915926798333,-1.4582383914252507e-08,-0.06844876881616917,0.0
ABHD1,0,4.076090000233143e-07,-129.0,-0.020732883317261332,-8.152180000466282e-09,-0.13300494904201984,0.0
ABHD10,0,1.2824542258350642e-05,-40.0,-0.02572347266881029,-4.409995793607699e-07,-0.05203983115886953,0.0
ABHD11,0,8.52069609497433e-06,-18.0,-0.010982306284319707,-3.425642520700863e-07,-0.044020916854269544,0.0
ABHD13,0,1.8767066763196561e-07,-116.0,-0.01867954911433172,-3.894541666456983e-09,-0.061891239466600106,0.0
ABHD14A,0,0.0,-101.0,-0.01567836075752872,0.0,,0.0
ABHD14B,1,2.5899643334955404e-06,-90.0,-0.023993601706211676,-6.513148738297959e-08,-0.057218027784566236,0.003645511830766196
