,Number of Increases,Euclidean Distance,Absolute Rank Change,Relative Rank Change,Absolute Change,Relative Change,Combined Score
ACIN1,0,0.0,,,,,0.0
ACLY,0,0.0,,,,,0.0
ACO1,2,0.001581767637215054,-403.0,-1.4190140845070423,-0.00011882559688068645,-0.8407497055437813,0.004934476549854196
ACOT11,0,0.0,,,,,0.0
ACOT7,2,1.4132850899913148e-05,428.0,0.08792111750205424,1.824541167422334e-07,12.488118100603868,0.00501134784324073
ACOT8,0,0.0,,,,,0.0
ACOT9,0,0.0,,,,,0.0
ACOX1,6,4.626376966922672e-05,1623.0,0.3468689891002351,9.266918870190318e-07,8.966240695981258,0.008325074118068036
ACOX2,0,0.0,,,,,0.0
ACOX3,0,0.0,,,,,0.0
ACP1,0,2.039658262400251e-05,-931.0,-0.2572533849129594,-4.7053029721949957e-07,-0.7366598075331254,0.0
ACP2,5,4.274706833011469e-05,1478.0,0.30791666666666667,7.446822149179365e-07,14.278240671886488,0.008662039155291271
ACP5,8,8.937449861472357e-05,1381.0,0.3999420793512887,1.8990201471367643e-06,2.5325059592974655,0.008157371660851545
ACP6,6,7.609833172344655e-05,797.0,0.26381992717643166,1.0923197033748975e-06,0.9245321059936162,0.006226043135436214
ACPL2,0,0.0,,,,,0.0
ACPP,2,1.0218359326270831e-05,107.0,0.025876662636033856,2.2598949053567584e-08,0.06741426803918374,0.0024436550184274456
ACR,4,2.4577817000004174e-05,390.0,0.10279388508170796,2.2715074101838787e-07,0.44180859386528787,0.003915960704243758
ACRBP,0,0.00026495827601044793,-683.0,-0.7614269788182831,-1.2779480996540021e-05,-0.7261951341912596,0.0
ACSBG1,0,0.00018722148792487336,-516.0,-0.5965317919075145,-1.2433057840475417e-05,-0.6600056891798177,0.0
ACSL1,0,0.0,,,,,0.0
ACSL3,0,1.1670777817398292e-05,-711.0,-0.17603367170091608,-2.727490913562211e-07,-0.7256002557727868,0.0
ACSL4,5,0.00015523735082314846,-211.0,-0.24678362573099416,-8.655379645834238e-06,-0.45106237417903183,0.005067933852164749
ACSL5,0,0.0,,,,,0.0
ACSM1,0,0.0,,,,,0.0
ACSM3,0,0.0,,,,,0.0
ACSS1,5,3.996648727695564e-05,1316.0,0.2709491455631048,6.24520700394352e-07,27.491177452484145,0.009936573661996347
ACSS2,3,7.728546937220675e-05,-633.0,-0.36421173762945913,-2.7033002618541574e-06,-0.5758045397041451,0.003491515141024458
ACTA1,0,0.015271521326651627,-263.0,-2.827956989247312,-0.0008169523849824249,-0.9160266223857979,0.0
ACTA2,6,9.958988464801916e-05,2454.0,0.506815365551425,1.927888916176913e-06,56.13764924135807,0.01571639377080596
ACTB,7,0.0001868354574714114,-101.0,-0.10721868365180467,-5.184113800439883e-06,-0.32148604927293756,0.006131195705700956
ACTC1,4,2.731669441757227e-05,292.0,0.08899725693386162,1.94909574889195e-07,0.21785103932388206,0.0038520748528970443
ACTG1,21,0.020820164698629743,172.0,0.7049180327868853,0.0007824255384679935,4.079441462215326,0.04502032253037334
ACTG2,6,0.00012497448057621622,-66.0,-0.06867845993756504,-4.340175757694933e-06,-0.27885730165685746,0.005427426679709364
ACTL6B,5,9.595902076260315e-05,2009.0,0.4398948981826144,1.5142795608100829e-06,10.11808383676009,0.009851587000675703
ACTL7A,2,3.5413003286065235e-05,-443.0,-0.24287280701754385,-2.0738218134761784e-06,-0.48800875195400834,0.0027378478748839447
ACTN1,15,0.0054546809635447465,49.0,0.2677595628415301,3.3565844552322494e-05,0.09562375836808419,0.019790600690963594
ACTN2,5,0.000905227155236632,-143.0,-0.4831081081081081,-8.388059672112965e-05,-0.6380382383558644,0.0070092914011315715
ACTN3,1,0.00014088062335897267,-412.0,-0.4212678936605317,-8.935684393266318e-06,-0.5855926653926731,0.003055487797291142
ACTN4,20,0.03022401283224681,133.0,0.7430167597765364,0.0012477940849779862,3.374144352057459,0.04710356462667683
ACTR10,0,0.0,,,,,0.0
ACTR1B,5,2.4649081591623686e-05,-187.0,-0.06475069252077563,-3.3520918949815254e-07,-0.24999442603307007,0.003490506838739673
ACTR2,0,7.684239592368897e-06,-562.0,-0.12916570903240635,-1.7570091840537574e-07,-0.7445148266953264,0.0
ACTR6,0,0.0,,,,,0.0
ACTR8,0,0.0,,,,,0.0
ACVR1,6,3.66246364103444e-05,-69.0,-0.04121863799283154,-1.328730685560989e-06,-0.25631920173781536,0.004029585547900699
ACVR1B,0,0.0,,,,,0.0
ACVR1C,0,4.308315211883839e-05,-486.0,-0.2990769230769231,-2.975428987056504e-06,-0.5382353888104019,0.0
ACVR2A,0,0.0,,,,,0.0
ACY3,0,5.357116493387467e-06,-432.0,-0.09473684210526316,-1.1836457886549631e-07,-0.7771899107467523,0.0
ADAL,0,0.0,,,,,0.0
ADAM10,0,3.9060535470105385e-05,-1110.0,-0.3793574846206425,-9.438895729716679e-07,-0.727108031335727,0.0
ADAM11,12,0.00024226635110456525,700.0,0.39615166949632147,5.9816273068725255e-06,1.3149976258803904,0.010420425320635312
ADAM12,3,1.1925583610366904e-06,-330.0,-0.10546500479386385,-3.368143919024652e-07,-0.32318535705327284,0.00140143088835686
ADAM15,0,0.00028675673770568705,-899.0,-0.8892185954500494,-1.0889012703304222e-05,-0.7766204760092887,0.0
ADAM17,0,0.0,,,,,0.0
ADAM19,5,2.041203071375295e-05,336.0,0.08917197452229299,1.9100327184087265e-07,0.35904513144326156,0.0038922461477589707
ADAM21,5,2.5970994151055407e-05,47.0,0.017323995576852193,-8.206157614623344e-08,-0.05167186158384692,0.003765113036134141
ADAM28,0,0.0,,,,,0.0
ADAM32,13,0.00042385291782110596,724.0,0.4683053040103493,1.062821173115964e-05,1.7780756825810906,0.012838446441861514
ADAM33,7,0.0005569646729328923,-46.0,-0.08534322820037106,-1.5971421925237776e-05,-0.35048975464911397,0.007977477693336558
ADAM8,7,6.591005043260222e-05,598.0,0.21258442943476716,8.439128020421165e-07,0.5847330216699312,0.00593219020050411
ADAM9,2,5.2380198283910846e-05,-802.0,-0.34884732492387993,-1.494469016017304e-06,-0.6046184067673895,0.002814947297681559
ADAMDEC1,0,0.0,,,,,0.0
ADAMTS1,5,0.00018568555348676065,-112.0,-0.18791946308724833,-1.5525108985253014e-05,-0.421020599746403,0.005387180409036098
ADAMTS12,3,5.504096974064555e-06,45.0,0.01005811354492624,1.6956453824495265e-08,0.0929819082340264,0.0023287642297464915
ADAMTS15,0,5.45020907995784e-06,-527.0,-0.15070060051472692,-3.548142532675605e-07,-0.4965360254380612,0.0
ADAMTS2,3,0.00010436195121132921,-370.0,-0.36561264822134387,-7.596862610566634e-06,-0.5428506539446507,0.0038345653090649974
