	Relative Change
GBP1	0.07899518694322356
GPX3	0.07898756750474731
G0S2	0.07874678507021526
F3	0.07864242009902794
PNRC2	0.07833777502318313
TMED6	0.07827814735409579
CCDC34	0.07819672392954105
OPTN	0.07797531418841347
CYP1B1	0.07792982368670921
CHRNA10	0.07780129188733785
SAMHD1	0.07774840369026154
LIFR	0.07764884603859191
TAT	0.07758844830597969
GABRA3	0.07747365670337512
PCSK1N	0.07743965733023218
ZC3H12A	0.07651726405620529
TMEM88	0.07644177649663511
NLRP3	0.07622738012255098
PCYOX1	0.07581466126429032
NR4A1	0.07517240722417348
RAB30	0.0749107002430999
LY6D	0.07430184777677924
AMACR	0.07351065138832308
B3GALNT2	0.07350389592261411
IKBKE	0.07275785271843267
CXCL2	0.07246619298038137
GADD45A	0.07213365787873578
MUC4	0.07180910319258198
MYL9	0.07170976876600973
NPFF	0.07146119107018131
KRT15	0.07129199256356823
ADPRH	0.07069861045878725
GBX2	0.07050452259106299
TNFRSF9	0.07043009888740391
TMEM37	0.06998433651833165
BEX2	0.06997498809289417
FGF18	0.06987991037489902
UGCG	0.06970543256919634
CYP1A1	0.06969459790172604
IL18R1	0.0696772722546133
TNFSF14	0.06949205843240293
PIGZ	0.06935232330591899
COL4A1	0.06929848476615487
DDO	0.06913700686283471
PHF11	0.06867453517702474
MAP2K6	0.06847680449073842
IL22RA1	0.06826427271514585
BST2	0.06767991366643832
RRM2	0.06753804461253522
NFKBIE	0.06697111902297456
TBX2	0.06690445587700393
CYBA	0.06669079188247623
INHBA	0.06664038859559909
ODC1	0.06624247995031653
CSF1	0.06608975188695675
TLR2	0.06602409965548381
CCNG2	0.06595871939931455
DUSP10	0.06574750621193419
BAHCC1	0.06570571520778351
CAPN6	0.06563938796985827
SOD2	0.06548893124194619
TNFAIP2	0.0652961170856556
MAF	0.06524551682136487
PPM1K	0.06516046922612391
ABCG1	0.06514088606975087
GPD1	0.06511849977013723
CPEB3	0.06504330728342468
TMEM171	0.06483106852535205
TNS1	0.06482233406920654
JAK2	0.06452866156504568
CHD2	0.06422843262356365
CCL2	0.06416601089034014
PIF1	0.06407864701251978
CREB5	0.06373458453329119
GJB1	0.06308837748101341
STAT2	0.0630266821786804
LCN2	0.06289402263085055
AATK	0.06234470670572777
BCAS1	0.06227967318862549
PARP9	0.06182408501799716
UBD	0.06179689365381987
PROX1	0.06160023346127769
GDF15	0.06157988720620855
PNPT1	0.061337826930902846
SP110	0.06093986464510603
NAV3	0.06092348962735748
PLA2G4C	0.06081656286142815
PER2	0.06067090786529368
VTCN1	0.060495490031433855
PCF11	0.06044071521883609
MDH1B	0.06042205847836005
KYNU	0.060396977147711126
APC2	0.0600532930175276
ABL2	0.06004419251854729
CXCL1	0.059903298350676606
MAP3K8	0.05980979330708116
KLF2	0.05974924477330556
CCNT2	0.05970054343724535
MSTO1	0.05894912696641719
CDC14A	0.058931437449819594
PGM5	0.05879692150519785
ETS1	0.05867287214942357
APOL6	0.05852490294849275
IL15RA	0.05844233576043131
RELB	0.058340441889297705
HBP1	0.05832011529287418
BCL2L14	0.05828948135923552
PARP14	0.05818615216930939
CSF2	0.057697194665740026
FOSL2	0.057535232561433926
GEM	0.05742716054503444
JUN	0.05735973345179341
DUOX1	0.057138944617001614
H2AFX	0.056997537670479576
PLK1	0.0563118923633428
EGR1	0.0562396240007727
MTHFD2	0.05601558019575557
LAMP3	0.05578305248292604
TNFAIP3	0.05569927091315167
CENPP	0.05561042069450728
CFI	0.054957081742589335
ARRDC3	0.054900460762152124
LAT	0.05479046803174222
PPP1R10	0.05443877093738501
COL8A1	0.05439773156401916
IFITM1	0.05426942729095714
NEB	0.05423800225805085
PTX3	0.05422646326995897
IDH1	0.053855720265189935
PLSCR1	0.0537527057780595
DUSP1	0.05350531694878519
PDZK1IP1	0.053360027793781975
TUBB2B	0.05306801344498277
NEDD9	0.05287334747940357
STC2	0.052721139514466886
GBP3	0.052508494363230275
IFIH1	0.05250131301669658
SLC34A2	0.0520759707641122
RBAK	0.05155798257023017
IFITM3	0.05148916503508309
C1S	0.05134633588600069
EPM2AIP1	0.051327000771541544
NUAK2	0.05130483465011933
IRF7	0.051301375112461356
SYTL5	0.05128695562078714
CPLX2	0.05122503210934352
LAT2	0.051168197278645196
ZFYVE28	0.05106575947100089
SAMD9L	0.05084058823871709
BDKRB2	0.050430749244532745
PTAFR	0.050373368618003476
SNAI1	0.05009985215501826
SLC15A3	0.050015345944546485
RASGRP3	0.04994808573041237
OAS3	0.049289220883579496
HADH	0.04878882512461506
DAPP1	0.04854581249290174
ARHGAP19	0.048496904604290375
SLPI	0.048480161096562946
GAS2	0.0482306176342829
PBX1	0.048056099341243844
BMP2	0.04788692929262689
SORT1	0.04783783616603919
MATN2	0.047758710424816164
PNRC1	0.047702775680012875
FANK1	0.0476995211743298
PLA2G7	0.0475078676169169
GPNMB	0.047325095415620765
IL7R	0.04724782179026946
PCSK9	0.04717783622266885
TLR3	0.04694226624144346
OAS2	0.04690002791247976
SYNPO	0.04643906475204949
ZC3H12C	0.04640264164318582
IL10RA	0.04625772656147799
LGI3	0.04624382041382733
SORL1	0.04602867700836806
CNKSR3	0.04556530030545811
CALD1	0.045546523761605805
TMEM40	0.04529792847049896
VPS37D	0.04516350805812151
TNFSF10	0.045131154318598876
KBTBD8	0.04492712196480294
APLP2	0.04455430390432776
RECQL4	0.04452512337917294
RASGEF1B	0.04451370076156296
CD274	0.044510172818166965
KLHDC7A	0.04443924027938813
HMOX1	0.04435850398892155
RAB37	0.0440524391080375
CCDC15	0.04386737723708343
ADRB2	0.04376450295422679
ANGPT1	0.04347582558365934
NGFR	0.0433333088882649
TRAPPC6A	0.0432279027331871
EGR4	0.0430821965494209
ARRDC4	0.04289234389658047
KIF26B	0.0427810003078917
CHAC1	0.0427099763012903
ISG15	0.04270543520272783
ADCY1	0.04236078884418848
RBM43	0.04227677921713103
RTN4RL2	0.04216429951657088
PTK2B	0.04207416195442321
GBP4	0.042049780206177556
IFIT3	0.04202862636279686
PYGM	0.0417470714866831
PSTPIP1	0.04168683190085558
STC1	0.04141985878464445
CAT	0.041373857400434914
ZSWIM5	0.04131965085840244
NMI	0.041206034996689296
DNAJB4	0.04114823204662241
PLAUR	0.04106867155089848
SEMA7A	0.040958625278357655
NR4A2	0.040832089141097594
SLC11A1	0.040816122135061556
PLEKHB1	0.040806789971765456
IFITM2	0.04073630148437381
B3GNT7	0.040650136206105025
LYNX1	0.04049858955578071
CDKN2AIP	0.040276215756217724
DUOXA2	0.040212782802320136
GFI1	0.04013677501459556
SLCO2A1	0.040117168626832185
ATF3	0.040087011783294844
MX1	0.040027392772837976
ALOX12B	0.03995822921020245
PTGER4	0.03992858193145891
CLK4	0.03991220092342884
COX6B2	0.039669569874055816
ARC	0.03965636955199373
TRAM1L1	0.03958068239975861
XDH	0.03931163263175718
RND3	0.03928079690822229
LOXL4	0.0392775762569851
DPYSL5	0.039276721521873094
IFI44	0.03924331675575276
EDN1	0.03923860337201524
GPC1	0.039168887862388264
SPRY2	0.039105883370272716
SLC25A37	0.03900165445948397
MAOB	0.03892744011038068
CDCA3	0.038750422878792434
AOC3	0.03870336037163697
SCARA5	0.03854921632655016
PDZD2	0.0384042741629834
SAA2	0.03833408997099987
PRDX3	0.03789832076047322
GBP5	0.037818766131991845
CX3CL1	0.0373897309184828
HBEGF	0.03736809854037431
KIF20A	0.0372671061096236
AKAP12	0.03718306818933827
SLC22A14	0.037144152503982474
BCAT1	0.03698045008506508
SMCHD1	0.036907959573529714
SEC14L4	0.0368029684488092
FSTL4	0.03667418673646654
NT5DC2	0.03665444021522488
ENG	0.036640784394384826
FST	0.03653479727872159
CORO6	0.0364729896208381
RBM39	0.03624216107078875
KRT8	0.03601986412672565
BTG2	0.03593402197798521
IL11	0.03590685584527206
SLC16A6	0.03580384528062902
ITGAM	0.035456916263382696
AREG	0.035372310505469025
ARHGAP30	0.035222538162871644
EMILIN1	0.035198877090700575
SLFN5	0.03515719009986162
AMOTL2	0.03496065136568731
THBS1	0.03484877911351485
NUPR1	0.034795515699802736
CRYAB	0.034724310091501426
VCAM1	0.03460902303310354
TMEM140	0.03455123008644502
NR1D2	0.0344637022178161
WTAP	0.03444798675479856
SLITRK6	0.03443899910415312
EYA1	0.03435717307023053
PML	0.034291012324560624
EDN2	0.03423927915136829
SMARCA4	0.03413900557644537
IL6	0.034125156111617254
SOCS3	0.03402064025149317
SAA4	0.033962551365915084
DUSP4	0.03393799382469346
MEIG1	0.03383412153220698
EGR2	0.0336195309553604
TDRD7	0.03360576875355663
LRMP	0.033573095739202086
UBE2L6	0.03350311819010695
TRIM21	0.03334241638005991
KCNJ10	0.03325310016356608
MSX1	0.033165150262188324
COL16A1	0.03309634075790207
FBN2	0.03292629812439061
COL6A1	0.032925001188948304
TRIM14	0.032813619026965404
GPR176	0.032614004701579706
C2	0.03253685715869535
CTNND2	0.032534855229987766
CASP1	0.032494949749576736
TXNIP	0.032476880272651054
HDAC9	0.032309371965908586
LMO2	0.03222342777421927
VAMP2	0.03195106016879139
IKZF3	0.03192062471791875
IL12A	0.031913451590766376
SYNGR3	0.03189572351100552
AHRR	0.031817391013868775
EIF2AK2	0.0316495416998166
DDX58	0.031604371241949133
HIST1H1D	0.031527855754952844
