	Euclidean Distance
PRDX1	0.00010508560685913917
CD83	0.00010460542525889439
SH3BP2	0.00010413144167231688
NEDD9	0.00010401030561614722
RAB25	0.0001036714771371137
SEC31B	0.00010365409376574046
CEACAM20	0.00010337818833963753
ODF2L	0.00010332009557778675
ARID5A	0.00010303160462015587
CD38	0.00010301202887884922
GRHL1	0.00010295597235923835
DUSP16	0.00010284758276937605
FUS	0.00010260080711610133
ADRB2	0.00010243774632955139
ANXA9	0.00010242241277201411
VAMP2	0.00010238093583410778
CDC14A	0.00010228065752343386
FFAR2	0.00010183433419275424
FOSL1	0.00010176537479196602
LOX	0.00010157838436342546
MDGA1	0.00010155583116838138
SH2D5	0.00010132284967687299
UAP1L1	0.00010105960914463276
AMOT	0.0001008788736414513
LRRC45	0.00010074907394811943
HP	0.00010029761298765737
KRT17	0.00010022480023521653
AGER	9.91151971165367e-05
COL27A1	9.897759018197943e-05
CRYAB	9.845981214537863e-05
SEMA4A	9.828442759799138e-05
NRN1	9.803420317519258e-05
ANKRD11	9.783408745183786e-05
GPR119	9.781479294038078e-05
SERF2	9.766448641997597e-05
SLC4A1	9.747540168671544e-05
DDC	9.712596052993539e-05
C3	9.696917516552985e-05
GPR50	9.69542259892653e-05
HBP1	9.636036600956446e-05
SLA	9.627137018020489e-05
NGFR	9.624740136262752e-05
BMP2	9.584360816663002e-05
B3GNT5	9.568326260467726e-05
DBP	9.562740181285271e-05
CLDN5	9.535070741809245e-05
NFKB2	9.475972379334643e-05
LAG3	9.417010777171359e-05
GPR162	9.407057362180947e-05
SARDH	9.350784219154792e-05
MUC1	9.331200926378404e-05
HMGA1	9.330824611501382e-05
LTA	9.320888164502059e-05
OVOL1	9.302207733326592e-05
NPEPPS	9.295172203695578e-05
SLC2A6	9.288449501708094e-05
PSMB5	9.280421550985311e-05
DAG1	9.214402970709677e-05
EDA2R	9.212900336405281e-05
FOXP1	9.156490205720917e-05
UNC93A	9.131980345310126e-05
GPD1	9.116810912910429e-05
EIF2AK2	9.103606911002138e-05
CIITA	9.080911721193936e-05
SERPINA9	9.068245753855264e-05
SLC8A2	8.991683257915065e-05
ARVCF	8.976272646563043e-05
DCST1	8.92587551102385e-05
YBX1	8.919428215263275e-05
RBM14	8.879014511733515e-05
IL1B	8.873206209647392e-05
SPP1	8.811188610505638e-05
NPDC1	8.806318167642222e-05
CHST2	8.792103616315139e-05
RPN1	8.787966514123898e-05
HCRTR1	8.775302003424241e-05
EDNRA	8.750633305319482e-05
DYNC1H1	8.741428663445916e-05
TAT	8.734542678792249e-05
TBC1D22B	8.711597045588402e-05
RRM2	8.696084611138779e-05
AMOTL2	8.684873116566602e-05
ASF1B	8.64481817824321e-05
ARMC7	8.636424875691912e-05
ARID3B	8.610285098721191e-05
C1QA	8.610085624655759e-05
MYCT1	8.598384461861357e-05
ZFP36L1	8.59183045561333e-05
TNFAIP2	8.586207501940605e-05
CDH6	8.583388220192225e-05
ARMC2	8.582578312089613e-05
CDK5R1	8.560571558735346e-05
TMOD4	8.499374228620112e-05
EXTL1	8.474448153078851e-05
NOMO1	8.423287905519932e-05
MUC4	8.369311202922718e-05
PSMB8	8.318772833943208e-05
HES1	8.314862989933847e-05
LEFTY1	8.314014158256285e-05
PGM5	8.307427550110073e-05
CHAC1	8.29720640780429e-05
TK1	8.261137980651717e-05
ETS1	8.240711907806212e-05
VNN3	8.195076004303547e-05
DCT	8.115897199414631e-05
XDH	8.107650311209385e-05
F3	8.076554186517369e-05
NEDD4L	8.073225637499392e-05
PDZK1IP1	8.039589781899026e-05
ST3GAL1	8.020193098220127e-05
ARHGAP19	8.014525300723719e-05
SOD3	7.973194910544593e-05
INHBB	7.868741856090362e-05
MEP1A	7.852727475991271e-05
FOXD4	7.849869445282515e-05
PLK1	7.83991387011283e-05
HIST1H4D	7.76431651041416e-05
THBS1	7.723826485635905e-05
TTC28	7.713711675065646e-05
RHCG	7.68760930653664e-05
PLCH2	7.671041847240658e-05
IER5	7.638538701362938e-05
FBXO17	7.636954196449626e-05
E2F7	7.629983291554888e-05
DND1	7.626697468844655e-05
SCARA5	7.625805675182869e-05
ATP6V1G2	7.61778435075804e-05
DPYSL2	7.617177820898793e-05
NUP93	7.600618188725182e-05
HGF	7.590522570005638e-05
PALM	7.590048764599813e-05
TGFBI	7.576553714580924e-05
MAP2K6	7.569207537241722e-05
RGS16	7.568590953645444e-05
RPS6KL1	7.565177862248929e-05
RERG	7.520144827908284e-05
EFNA1	7.502029652985315e-05
BDKRB2	7.481142909661185e-05
RAPGEF3	7.448502579341016e-05
TNFAIP8L1	7.424148400836024e-05
CECR2	7.308329908712561e-05
RASGRP2	7.27338366977472e-05
ITGB3	7.224607178998967e-05
MASP2	7.216867020812956e-05
PROM2	7.164295291264654e-05
IFITM2	7.162925352573985e-05
TRIB3	7.140103118192476e-05
KIF21B	7.134530128536957e-05
WAS	7.13436614219787e-05
IL10RA	7.134319558049196e-05
SULT1C2	7.119240007953212e-05
RASGRP1	7.091944221528384e-05
CENPP	7.075420969378363e-05
APLP2	7.057542802626408e-05
SLCO4C1	7.026881829076688e-05
SLC38A3	7.005012829414867e-05
SLC2A1	7.003940151209659e-05
PIM3	6.999789824962242e-05
PRDM1	6.995243402022563e-05
PNPLA7	6.974032442123286e-05
AHCY	6.973805135605389e-05
CYP27A1	6.956235634870594e-05
ADPRH	6.956169471189613e-05
LY86	6.90362223468876e-05
APC2	6.894150221816831e-05
CAMK2B	6.887406555326378e-05
CYLD	6.88200751823776e-05
ZBTB10	6.881354638807315e-05
OTUD3	6.873395632586914e-05
SORD	6.835861930779378e-05
HIVEP2	6.770120129594269e-05
PPM1K	6.737875309293968e-05
PSMB9	6.723318104303484e-05
MARCKSL1	6.702255594635863e-05
MBP	6.696026112198427e-05
BSG	6.681429697722909e-05
FUT7	6.645196385737357e-05
ETV3	6.636052293202289e-05
TNFSF14	6.625392521933037e-05
ADAM8	6.616168984823457e-05
GNB3	6.615189959121742e-05
SLPI	6.610178147046539e-05
RTN4RL2	6.569775889463014e-05
NDRG2	6.557110913309897e-05
LY6D	6.552778880883017e-05
CPEB2	6.548442580152372e-05
PER3	6.531063957129638e-05
SET	6.521561767015083e-05
ACBD5	6.501249606188606e-05
PIGA	6.495256783073363e-05
TLX2	6.484759021538383e-05
MAK	6.482317452405815e-05
MAP2K1	6.463779038688733e-05
IL20RB	6.441307369911045e-05
LGI3	6.433245997832041e-05
KCNJ10	6.42555882661984e-05
DOK3	6.417038948464688e-05
SYNPO	6.401580707119833e-05
TMEM160	6.401470793826057e-05
TIAM2	6.392550732070625e-05
HMOX1	6.381367453834939e-05
FOXC1	6.37759686228899e-05
CD14	6.376221011846851e-05
IL1RN	6.360865432542237e-05
HSPA8	6.360584775164597e-05
MMRN2	6.321800636379441e-05
VAV3	6.318378007520957e-05
FMO5	6.30323997664206e-05
TBX3	6.302094263445231e-05
PHF11	6.293316818924937e-05
KATNAL1	6.290704691314992e-05
ST14	6.284312443771071e-05
ELF3	6.226462022704568e-05
SMAD7	6.217703778999802e-05
TIMP2	6.200526667580011e-05
RASA1	6.187543737048056e-05
PSD	6.179102222690306e-05
LMNA	6.177979216150674e-05
CXCL9	6.153201461356434e-05
CDCA3	6.14921773672259e-05
IMPG2	6.145778835814734e-05
LRRC2	6.14220394895796e-05
SLC22A13	6.119148868625518e-05
PLSCR1	6.118744332246101e-05
ZYX	6.118694295911301e-05
PSAP	6.115048248641765e-05
ABCA3	6.094416955802895e-05
ICMT	6.092396915415095e-05
LILRB4	6.068430192245564e-05
HHEX	6.048924932259739e-05
PTPRF	6.0436162893497175e-05
TIGD5	6.007256242019394e-05
PPP2R2B	5.99505125712615e-05
HDGF	5.9948697173561594e-05
AGR2	5.9921359786313146e-05
MYLIP	5.973152893841931e-05
HSP90AA1	5.966815171104455e-05
ARID4B	5.9646231276652266e-05
NT5E	5.951037471340971e-05
GADD45B	5.9501732655587395e-05
TDRD7	5.9491208478659795e-05
CHIC2	5.9440031049601726e-05
PNRC1	5.9236496027144116e-05
PPA1	5.9196310272894224e-05
TMBIM1	5.911424224243054e-05
TNFRSF11B	5.85679237734493e-05
GLI2	5.8561843427795606e-05
NTNG2	5.842905366524477e-05
SERPINE2	5.841777869292356e-05
SSTR4	5.84016408528036e-05
AATK	5.8397775918130105e-05
NDRG1	5.827870513861922e-05
GATA4	5.820223763202305e-05
B3GNT7	5.81360998108596e-05
USP32	5.811092340250461e-05
MXD4	5.7954571712494784e-05
CASP1	5.7838089979614326e-05
TRIM15	5.7833061730465486e-05
PRPS1	5.7565446126849495e-05
GSN	5.7455922709308195e-05
TNFRSF25	5.742237345888255e-05
HIST4H4	5.7333816593676665e-05
LY9	5.716495303521079e-05
GPM6B	5.7017779931549906e-05
ABTB2	5.699338166949416e-05
NECAP1	5.6982447404351276e-05
MYBPC3	5.6961042592432327e-05
CPA3	5.6632619094851816e-05
CBX7	5.636701735638084e-05
COL14A1	5.6309782563179194e-05
RGS2	5.628910725420875e-05
CD163	5.624038141709037e-05
IL12A	5.6162772278459405e-05
STAB2	5.603973414839194e-05
RAB5B	5.5829321673478365e-05
EFNB2	5.5763333474807326e-05
PACRG	5.569169245699027e-05
THBD	5.5652555175397416e-05
UCP3	5.559088706364553e-05
PIWIL2	5.547718701926294e-05
CHRDL1	5.545446899293185e-05
LY75	5.523434623787561e-05
CLIC5	5.508823569310369e-05
HAS2	5.4841200036219826e-05
ADAMTSL3	5.463958488456839e-05
AMPH	5.4621298681973086e-05
BIRC2	5.452818758603434e-05
CPT1C	5.428605174823522e-05
RNPS1	5.425309605691139e-05
OPRL1	5.4245139980104615e-05
MPPED1	5.420250674754714e-05
LMO2	5.402700537904492e-05
WBP2	5.397554704406476e-05
STAT5A	5.37946411668782e-05
HS3ST1	5.3699209517754066e-05
ADAM33	5.369482325784994e-05
PPIB	5.350412104329165e-05
CDCA5	5.349397353174327e-05
PLAT	5.34642392235054e-05
ASPM	5.3326720395327834e-05
SLC1A3	5.323975551182328e-05
OXT	5.3102543063504275e-05
M6PR	5.3069736542117176e-05
GPX4	5.285825716010273e-05
ADAMTS1	5.28145556271502e-05
GGN	5.272233748126704e-05
ICAM5	5.269684958700244e-05
ID4	5.2662603338168026e-05
INTS6	5.264676938406742e-05
COL6A2	5.255397945034703e-05
TM4SF4	5.248753929505962e-05
KIF22	5.2404356735164495e-05
PSAT1	5.2143408394519854e-05
ITGB1BP2	5.1986233939019605e-05
MTTP	5.195813609295677e-05
SLC22A17	5.193314384048025e-05
ARL5B	5.184714882666601e-05
APBA1	5.184220727598928e-05
NDUFA13	5.1654910553601645e-05
XRCC2	5.164497884587145e-05
NGRN	5.161595556211874e-05
CCND3	5.161364195314439e-05
TXNIP	5.1571315303964766e-05
ATP1A1	5.155862771151472e-05
PPP1R12B	5.150410629043755e-05
GC	5.1366152341701105e-05
PTK2B	5.129945812065421e-05
TM7SF2	5.1282045527030674e-05
BRSK2	5.126676490714898e-05
RAB6B	5.121398029311055e-05
BIK	5.1213000795126307e-05
FOXO1	5.11796070870302e-05
DPEP1	5.105533559316471e-05
SESN2	5.0930242248708766e-05
EPHA4	5.0914783292450433e-05
IDH1	5.088479099722237e-05
TUBB3	5.082260904892629e-05
OPN3	5.0785288276523565e-05
LAIR1	5.0665636535472684e-05
DIRAS1	5.040576090169352e-05
GUCA1B	5.034393747085341e-05
DRD3	5.034168106668726e-05
MIER1	5.03280604195155e-05
KIRREL2	5.0255549937605314e-05
NEGR1	5.003800279564909e-05
ROBO2	4.964652950261178e-05
RENBP	4.964014520296535e-05
PHGDH	4.96194470231617e-05
GNAO1	4.961308584286232e-05
ERRFI1	4.957712587269995e-05
TMEM171	4.9561039262610865e-05
PLD4	4.947598965608293e-05
