	Number of Increases
ZCCHC2	3
SOST	3
TBX1	3
SPAG4	3
SPAG9	3
CHD1	3
TCEA2	3
TCF7	3
CTH	3
DCTN4	3
MCL1	3
NUP93	3
CST3	3
NOXA1	3
CENPF	3
NUSAP1	3
DCBLD2	3
NOTCH3	3
DBNDD2	3
MOV10	3
CHN2	3
ADAR	3
MPDU1	3
OAT	3
DCTN1	3
SNAI2	3
CST6	3
CYP39A1	3
DAG1	3
NPHP4	3
SNTB1	3
TCN2	3
ZDHHC24	3
SNRK	3
ACSBG1	3
CTDSP2	3
NUP43	3
MDM4	3
NPDC1	3
SNAPC4	3
DBF4	3
ADAMTS15	3
SPON2	3
TAF1A	3
DHX15	3
ZSWIM3	3
PDIA4	3
PCSK4	3
THSD1	3
MYO7A	3
COG3	3
COL4A2	3
DOHH	3
SLC29A4	3
STK40	3
ABCA1	3
LRRC25	3
SULT2B1	3
NDUFB11	3
LIG3	3
COL4A4	3
WNK4	3
PDE3B	3
NDRG2	3
CDC25A	3
DUSP7	3
COL24A1	3
SYTL5	3
SLC27A2	3
CKS1B	3
LIMD1	3
TIMP4	3
SUPV3L1	3
WNT4	3
SYT15	3
DPP4	3
NANOS1	3
CKMT2	3
SLC1A1	3
SLC19A2	3
PCK2	3
NEK2	3
ABCA3	3
CLCF1	3
NEK6	3
LILRB4	3
NEUROG3	3
SLC25A33	3
THRA	3
AHCYL1	3
DTX2	3
PBX2	3
ABI3BP	3
PAX9	3
MYLIP	3
NFIB	3
DST	3
WISP2	3
CKAP2	3
MYLK2	3
NBN	3
WIPI2	3
DSP	3
CITED2	3
NCAPD3	3
MYO1A	3
DNER	3
TAF15	3
SYNGR3	3
PCBD1	3
STIP1	3
STK17B	3
NCF2	3
COMMD4	3
DOCK11	3
CLIP2	3
SYT8	3
COL7A1	3
PDE1C	3
MYO1D	2
MYO1C	2
GTPBP2	2
ATP13A3	2
MOBP	2
GSTM1	2
GTF2B	2
NDUFB7	2
MOCS3	2
HSD17B4	2
MOGAT1	2
NDUFA11	2
MORC3	2
ABCD1	2
NOV	2
GSTT1	2
HSP90AA1	2
HSCB	2
RAD54L	2
NPEPPS	2
MORF4L2	2
GSTM4	2
PSD	2
UBE2A	2
BACE2	2
HSPA1L	2
NR1I3	2
ZYG11B	2
UBE2O	2
MLLT6	2
MLLT3	2
PRM1	2
RAPGEFL1	2
UBE2T	2
PRKRIP1	2
ASPHD2	2
NR3C1	2
MLKL	2
IDUA	2
GRASP	2
ACVR1	2
RARA	2
RARB	2
AADAC	2
PRKAR2B	2
NR5A1	2
TSPAN15	2
MMAB	2
ABCB6	2
BBX	2
ABCA5	2
NAB2	2
ACSL4	2
GSK3B	2
HSPA5	2
PRRG4	2
ATP6V0B	2
NCOA5	2
NCOA1	2
PRRC1	2
ZDHHC14	2
ATF7IP	2
UBE2D3	2
HTR7	2
GRIN2D	2
NCKIPSD	2
GRIN1	2
HVCN1	2
RAPGEF2	2
MOXD1	2
TWSG1	2
GUK1	2
NMD3	2
NKX2-5	2
PTPRB	2
TUBA4A	2
MRTO4	2
RAB3A	2
MLF2	2
MRPS30	2
NLK	2
AZGP1	2
MRPS27	2
MRPL12	2
PTPRG	2
TTC1	2
NME3	2
PTPN11	2
AVPI1	2
HIVEP3	2
NMNAT3	2
MYCN	2
PTOV1	2
NMRAL1	2
AURKB	2
HCN2	2
MSN	2
PTK2	2
RAB15	2
NFYA	2
RAB11FIP4	2
ACADSB	2
MTUS1	2
NFKBIB	2
MTTP	2
NGRN	2
HEXIM1	2
HEMK1	2
MVK	2
B3GNT8	2
BAIAP2	2
HFE	2
ACE2	2
NFE2	2
NINJ1	2
HEBP1	2
ZMAT3	2
ZMIZ1	2
ABHD8	2
NFAT5	2
NEXN	2
MYCT1	2
RAB40B	2
ABCE1	2
MPP7	2
HOXB4	2
TSPYL4	2
PSME1	2
ZMYND15	2
HOXB6	2
MPST	2
H2AFV	2
RAB11FIP1	2
ATRX	2
MPPED1	2
ZNF512B	2
ZMYND12	2
MPP6	2
MPP2	2
ZNRD1	2
NOMO1	2
PSMD1	2
H1F0	2
ATP6V1B2	2
GZMB	2
TSPYL2	2
PSMC3	2
HOXB3	2
HOXA7	2
PTGS1	2
NEGR1	2
PTGIR	2
PTGFRN	2
HAVCR1	2
ZMYND10	2
HAPLN3	2
HMBOX1	2
HMG20A	2
NOB1	2
MPV17L	2
HMGA1	2
RABAC1	2
MPV17	2
HAAO	2
RABGAP1L	2
AUH	2
HMMR	2
HOMER2	2
ATXN2L	2
ATXN2	2
PSPH	2
NOD1	2
NOG	2
NR6A1	2
LGALS3BP	2
ASB13	2
AGTRAP	2
PITRM1	2
KIF5C	2
PJA2	2
PKD1	2
LRRC46	2
KIF27	2
PBK	2
XCR1	2
ANP32A	2
LSAMP	2
AGRN	2
KIF22	2
PKN2	2
ANPEP	2
KIFC2	2
ANKRD9	2
PIGR	2
ANKRD23	2
AHNAK	2
PIGY	2
PIK3AP1	2
LRIG2	2
PCGF5	2
PCGF2	2
VPS8	2
KLC3	2
WWTR1	2
PCDHB13	2
PILRA	2
LRRC20	2
PINK1	2
PIPOX	2
KIF15	2
PARS2	2
ANXA1	2
PANK2	2
KCNJ11	2
AOC2	2
KCNE4	2
LY86	2
PLEK2	2
LY96	2
VEGFA	2
VPS13C	2
PALMD	2
PLEKHA7	2
LYPD6	2
LYPLAL1	2
PAK1IP1	2
KBTBD2	2
PLCH1	2
PLCE1	2
KCNK12	2
LY6K	2
PAQR4	2
LUC7L2	2
VKORC1	2
XRRA1	2
VLDLR	2
KCNQ1	2
AGER	2
LTBP1	2
PARP3	2
AGPAT5	2
KCTD6	2
AGR3	2
XPO5	2
PIGW	2
AHSA1	2
MKKS	2
ALOX5	2
LIG4	2
PEX13	2
LCOR	2
ALDH16A1	2
PEX6	2
ALAS2	2
LIMA1	2
LDB3	2
ALAD	2
LAMP2	2
WDR54	2
LIMD2	2
PDE7A	2
ALPK1	2
LCP1	2
LDHD	2
KLHDC8B	2
LGI4	2
PDXDC1	2
PDZD3	2
LGALS12	2
LGI2	2
WFDC2	2
LFNG	2
LGMN	2
WDR74	2
LHFPL4	2
ALDH1A3	2
LEO1	2
ALDH1A2	2
ALDH3B1	2
LIG1	2
LIME1	2
LIMS2	2
AKAP8L	2
PCSK5	2
PHLDA2	2
ANGPTL2	2
WDFY1	2
LNX2	2
PCYT2	2
KLK10	2
WBP1	2
LAMA1	2
ANKHD1	2
WSCD1	2
KLHL29	2
LOXL3	2
AHSG	2
PCMTD2	2
PDCD1	2
LNPEP	2
PHIP	2
ANAPC10	2
PHF8	2
WNT9B	2
LMNB1	2
KRT18	2
LMCD1	2
PHC2	2
LLGL2	2
BCAP31	2
L1CAM	2
PHACTR4	2
LIPG	2
WDR43	2
LIPA	2
LYSMD2	2
PLEKHH3	2
LYST	2
IL17RE	2
MEF2A	2
UQCRB	2
ZBTB38	2
MEIS1	2
ADAM9	2
ARID3A	2
NUDT1	2
MED12L	2
PPP2R1A	2
LGALS3	2
IL17F	2
METTL3	2
MFAP3	2
ARL4C	2
NUMB	2
MDK	2
AP2A2	2
ILVBL	2
MCFD2	2
NUTF2	2
MCM10	2
INCENP	2
NUP98	2
IMPA2	2
PPM1D	2
ZBTB34	2
ARHGAP4	2
ILK	2
MCM2	2
PPM1M	2
PPP1CA	2
MDGA1	2
UNC93A	2
NUBP2	2
PPP3CC	2
IFNAR2	2
NSMCE1	2
ARMC9	2
IFT140	2
IFRD1	2
MICAL3	2
MICALCL	2
ARPC1A	2
NUB1	2
ARRB2	2
ADAM21	2
ARSJ	2
ADAM11	2
PRKAB1	2
NRG1	2
MIA2	2
IGF1R	2
NSUN4	2
MGST2	2
MGP	2
PRDM4	2
UHRF1	2
ARMC6	2
IGSF3	2
NTRK1	2
NTRK2	2
NTS	2
ADAM33	2
ARMC2	2
PPRC1	2
UNC13D	2
UNC5A	2
IPO8	2
ADAMTSL4	2
IPPK	2
ITGB4	2
ITIH2	2
PA2G4	2
P4HA2	2
MAG	2
MAGOH	2
ADORA3	2
AQP1	2
ITGAV	2
UTP14A	2
PODXL2	2
AQP4	2
USP8	2
POLD1	2
YPEL3	2
ITIH4	2
PNKD	2
ADRA2A	2
ADRM1	2
MAD2L1BP	2
APOE	2
MAD2L1	2
PLXND1	2
PLXNB3	2
PADI1	2
JAG1	2
PADI2	2
PLSCR2	2
JOSD1	2
LZTS2	2
AP4M1	2
PLEKHN1	2
AR	2
USP53	2
ARHGAP18	2
MAT2A	2
IRF8	2
IRF6	2
IRF5	2
ADCY9	2
IRF2	2
OGFRL1	2
ZADH2	2
OSMR	2
ODF2L	2
MATN4	2
OCLN	2
ADARB1	2
MBNL1	2
ARHGAP17	2
POM121	2
POLR3E	2
USP42	2
POLR2L	2
POLR2J	2
OPRL1	2
POLR2F	2
MAP4K3	2
MAP4K1	2
OSBP2	2
ITGA1	2
POLR2B	2
POLQ	2
USP49	2
MAP3K13	2
OSBPL9	2
ITGA9	2
IL17RC	2
NCAPD2	2
RASA4	2
FANCA	2
SCAND1	2
DBNL	2
SMURF1	2
TEAD1	2
DCLRE1C	2
FANCB	2
SMOX	2
F2RL1	2
SMOC2	2
SCG5	2
FAAH	2
SCGB3A2	2
SMOC1	2
CCDC115	2
FAT4	2
TDH	2
FBLN1	2
SNAP23	2
FBXL20	2
FBXL6	2
SART1	2
CENPI	2
FBXO11	2
FBXO15	2
SNCG	2
DAND5	2
CBLB	2
FBXO44	2
SALL4	2
CAV2	2
CATSPER3	2
TMEM56	2
CENPB	2
SPRED1	2
DDX24	2
CEBPG	2
CEBPD	2
TESC	2
ETF1	2
DDT	2
CCDC59	2
SLK	2
SMNDC1	2
CCDC68	2
CCDC69	2
DDX3X	2
SEC24D	2
SEC31B	2
TMEM19	2
SDSL	2
TMEM44	2
SMARCA2	2
ETV1	2
TMEM45A	2
SMARCD2	2
EVI2A	2
DDB2	2
EXO1	2
SDCBP	2
SDC4	2
EXOC8	2
SMC4	2
SCT	2
EXTL2	2
TEC	2
SCOC	2
TMIE	2
TMOD1	2
TMPRSS2	2
CHAF1A	2
CTSG	2
CALML3	2
FOXM1	2
SPATA17	2
CTTNBP2	2
SPA17	2
FMNL2	2
CASP2	2
TBC1D9	2
CX3CR1	2
CAPG	2
SOX4	2
SOX17	2
RRAGC	2
FOXRED2	2
CTRL	2
FRMD4B	2
SPC24	2
CTNND1	2
CTNNAL1	2
CTHRC1	2
SPIN1	2
TNRC6C	2
SPINK4	2
FSTL1	2
RPL29	2
TNXB	2
CTF1	2
FTH1	2
FTHL17	2
FUBP1	2
FKBP5	2
FKBP4	2
RREB1	2
TCERG1	2
FCGBP	2
SNX10	2
CYP27B1	2
FCRLA	2
SLC25A23	2
SNX5	2
FES	2
CASC3	2
TCF19	2
SNX9	2
CARHSP1	2
TNFAIP6	2
CARD10	2
TNFRSF10B	2
RTN3	2
TNFRSF25	2
CAPZB	2
CXCR3	2
CEP72	2
CAPNS1	2
CFH	2
SORBS1	2
TBX6	2
RSPO3	2
CAPN5	2
FHL3	2
FIGNL1	2
FIS1	2
RRN3	2
CFLAR	2
SLCO4A1	2
ERP29	2
CCDC78	2
EDA2R	2
EEF2K	2
CD47	2
SLC2A6	2
TLX2	2
THRB	2
TLR5	2
SLC29A1	2
SH3BGRL	2
DOK3	2
SIX1	2
TLK2	2
SLC27A1	2
EBPL	2
CD74	2
SLC30A1	2
DOC2A	2
SHMT1	2
EFNA4	2
SLC30A9	2
DNPEP	2
SHANK2	2
CDCA5	2
SH3TC2	2
CD300A	2
CDCA7	2
EHHADH	2
EHMT1	2
EI24	2
SH3BP2	2
THOC3	2
CDCA8	2
EBI3	2
TLE2	2
SLAIN1	2
TJP1	2
DTL	2
TICAM1	2
SLC25A28	2
SLC25A29	2
DUS1L	2
CDC20	2
CD99	2
SLC22A4	2
CD8A	2
DUSP19	2
SLC1A5	2
DUSP26	2
TIPIN	2
CD82	2
SLC16A7	2
EAF2	2
SLC25A39	2
DYNC1H1	2
TJP3	2
SLC15A2	2
SLC25A41	2
DYRK1A	2
SLC14A1	2
DPYD	2
SLC13A3	2
SLC12A2	2
TK2	2
E2F8	2
TLCD1	2
SLAMF7	2
CDCP1	2
SLC35F3	2
SELENBP1	2
CCNB2	2
TMEM161A	2
CCL24	2
EPHB3	2
TFPI2	2
SERINC5	2
TGFB1	2
CCNC	2
TMC6	2
SERPINE2	2
SLC5A3	2
SERPINF1	2
TMEM129	2
CCNE1	2
TMEM123	2
TMEM161B	2
SLC7A1	2
SEMA6C	2
EPS15	2
SEMA5A	2
SEMA4G	2
EPS15L1	2
CDKN2B	2
SEMA4D	2
EPS8L1	2
CCL19	2
DENND4C	2
DENND1B	2
SLC9A2	2
SEMA3C	2
ERC1	2
CCDC85B	2
SESN2	2
DGCR8	2
EPAS1	2
DIP2B	2
TMC7	2
SLC36A1	2
CD19	2
EIF4B	2
SLC38A5	2
SGMS2	2
DISP2	2
CDH26	2
DIS3L	2
CDH3	2
SFTPD	2
DIP2C	2
SLC3A1	2
ELOVL1	2
EME1	2
DGKA	2
TMEM106A	2
EMP1	2
SF3B5	2
ENC1	2
SF3B2	2
TGIF2	2
SF3A2	2
DHX9	2
SF1	2
CCNL2	2
SLC44A4	2
SETD7	2
TGFBR2	2
SETD1A	2
CTDSPL	2
SLC25A20	2
SPRN	2
TRAFD1	2
STARD9	2
TRAK1	2
RIMBP2	2
BRD7	2
GEMIN5	2
GFI1B	2
RHOD	2
GGCX	2
TAF13	2
GGH	2
BOP1	2
BNIP3	2
TRIB2	2
RHBG	2
GINS1	2
CORO1C	2
TACSTD2	2
TRIM25	2
BMP2K	2
RGS14	2
TACC3	2
GLIPR1	2
STK38L	2
CKB	2
STOML1	2
BRF2	2
STARD5	2
TOR3A	2
COX11	2
CIC	2
CIDEB	2
SSPN	2
C1D	2
CPT1B	2
RNF126	2
SSTR4	2
RNF111	2
RNF103	2
CPLX1	2
CPEB4	2
TPM4	2
TPMT	2
ST6GAL1	2
ST6GALNAC2	2
BTBD9	2
ST6GALNAC6	2
BTBD11	2
ST8SIA2	2
CPA3	2
TRA2A	2
TRAF3	2
GCC2	2
TAF5L	2
CISH	2
RFESD	2
COL1A1	2
COL12A1	2
GNB4	2
BCOR	2
GPR155	2
SUSD2	2
CLK3	2
TRPV6	2
RBCK1	2
CLDN18	2
CLIP4	2
RBBP4	2
RB1CC1	2
CLDN23	2
TSC22D1	2
SVIL	2
RASSF2	2
SVOPL	2
RASL10B	2
RASL10A	2
GPSM1	2
BCAR3	2
SYCP2	2
RASGRF2	2
GPSM3	2
CLEC3B	2
SYNJ1	2
TSPAN12	2
CMTM3	2
BDH1	2
TRMT5	2
RDH5	2
TRIM6	2
BIN1	2
CNR2	2
STX3	2
GNMT	2
CNOT6L	2
REEP2	2
BEX1	2
GOLGA2	2
GOLGA4	2
RDX	2
RDH12	2
RBP4	2
SUB1	2
GP6	2
RCC2	2
CNBP	2
RCBTB1	2
RC3H2	2
RC3H1	2
CLDN1	2
BDNF	2
GPC3	2
RBP7	2
SSH1	2
RHBDF1	2
TAPBP	2
RPL18	2
CHN1	2
SPSB4	2
CRY2	2
GAB1	2
FXYD3	2
FZD4	2
CHRDL1	2
CREB3L3	2
CRISPLD2	2
RNF215	2
CREBBP	2
CREG1	2
CRHR1	2
SRPX	2
C1RL	2
CRYGS	2
GABRE	2
CACNA2D1	2
RNF43	2
RPA3	2
GAD1	2
FUT11	2
RNF20	2
C8G	2
CHM	2
RNF167	2
CACNB2	2
CHMP4B	2
ROR1	2
CLCN6	1
CLCNKA	1
CTSK	1
AFTPH	1
MMAA	1
CRYBB2	1
LTK	1
MAD1L1	1
DNAJB5	1
DMWD	1
MLXIPL	1
MLPH	1
CLCN5	1
DMD	1
CDK5RAP3	1
CDH1	1
CNN2	1
CHD1L	1
LTB4R2	1
ACTN3	1
DNAJC7	1
MYO1G	1
MYL7	1
LSM6	1
MAEA	1
LSR	1
CHRNA7	1
CDCA7L	1
DNASE1L3	1
AGPAT4	1
CHCHD7	1
DNAJC18	1
MYO1F	1
AGPAT1	1
MAD2L2	1
DHRS13	1
DNAJB9	1
DNAJB6	1
DHRS3	1
COG8	1
ABHD10	1
DIO3	1
CHAT	1
CNN3	1
CNOT1	1
DHX40	1
CNOT3	1
CDH4	1
ABCG2	1
ABCG5	1
LZTR1	1
ABHD1	1
LYPD2	1
DIDO1	1
LYSMD3	1
CRYGA	1
CUL3	1
CUL7	1
LYSMD4	1
CNR1	1
CHAF1B	1
ACTR1B	1
CNTNAP1	1
DLK1	1
DLC1	1
LY6G5C	1
LY6G6C	1
DLG1	1
MLF1	1
ABCD3	1
CTSS	1
ADSS	1
AFAP1L1	1
DKK3	1
ADSSL1	1
DKC1	1
ABCC3	1
CTSW	1
MACF1	1
LYAR	1
DHX32	1
DISC1	1
MYO18A	1
DMBX1	1
CYBRD1	1
DNM3	1
LPIN3	1
NAT8L	1
DPYSL3	1
AK2	1
NAT14	1
CDC42EP1	1
CSNK1G1	1
CTNNB1	1
CLDN19	1
DPY19L3	1
LPXN	1
CDC42BPG	1
NAPG	1
DPP6	1
NAPA	1
CDC42EP5	1
NAP1L1	1
MMP28	1
CHD9	1
MPEG1	1
LRAT	1
NAV1	1
LONP2	1
LSM12	1
CDC37	1
LMNB2	1
CLDN9	1
CHIA	1
MORC1	1
CST11	1
CHMP2A	1
DRG1	1
LNX1	1
CDC34	1
CSRP1	1
AK7	1
CDC37L1	1
CHEK2	1
NBEA	1
ACSL3	1
CLIC4	1
CLIC5	1
LONP1	1
AKAP13	1
MOSPD3	1
CLDN14	1
MMP24	1
CLOCK	1
DNTTIP2	1
CHD7	1
MYO6	1
MYO5C	1
DOCK10	1
LRRC47	1
LRRC59	1
DOC2B	1
CMTM8	1
CTSF	1
ABCB8	1
LRFN3	1
ABCB9	1
LRRFIP1	1
MAF1	1
AGRP	1
LRRN3	1
DNMT1	1
DNMBP	1
ACTG2	1
LSM10	1
CMTM7	1
MYO9A	1
CDCA2	1
ACSS2	1
LRFN4	1
DOK7	1
CLPTM1	1
MYRIP	1
CLSPN	1
CTRC	1
DOK1	1
CLSTN2	1
DOCK9	1
MYO9B	1
AHDC1	1
LRP1	1
LRP12	1
LRP4	1
LRP6	1
CRYZL1	1
DOCK8	1
LRRC1	1
LRRC18	1
CRYZ	1
ADRA1D	1
ACY3	1
CELSR3	1
CFD	1
MC3R	1
MCF2L	1
CPA2	1
MGMT	1
MTIF2	1
DCK	1
CENPE	1
DCAKD	1
MRFAP1	1
MTHFR	1
CPEB1	1
MGLL	1
MTCH2	1
CREB3L1	1
MCM4	1
DBI	1
DBH	1
ADAMTS12	1
MCM7	1
DAXX	1
COX7A2L	1
COX6A1	1
ADAMTSL5	1
MUC16	1
CRIP1	1
MASTL	1
CRIM1	1
MAT2B	1
MUC20	1
CIT	1
CFL2	1
CEND1	1
DCXR	1
CRHR2	1
CREM	1
DCUN1D2	1
ADCK5	1
MICAL2	1
COTL1	1
MBD6	1
DCTN6	1
DCT	1
COX10	1
CXCL16	1
MTAP	1
CYB5D1	1
MDFI	1
MRPL50	1
MSH2	1
DAAM1	1
MEGF8	1
D2HGDH	1
ADAM28	1
CYSLTR1	1
MELK	1
CENPT	1
CYP46A1	1
MET	1
CPSF4	1
CEP152	1
CYP24A1	1
CYP20A1	1
MRPS11	1
MFHAS1	1
CEP170	1
CYP17A1	1
MFAP3L	1
CEP70	1
MEFV	1
MEF2D	1
CRB3	1
MGA	1
DARS2	1
MGAT5B	1
MGAT1	1
ACOT7	1
MRPL23	1
DAPK2	1
DAP	1
MRPL28	1
MST1	1
MED25	1
MFSD9	1
CPN2	1
CENPK	1
DAB2IP	1
CPNE7	1
DAB2	1
MEF2C	1
CIB1	1
DAAM2	1
CPOX	1
ACAT1	1
ADCY3	1
CDK8	1
CELSR1	1
MYCBP	1
ADORA2B	1
CDKL5	1
ABHD2	1
MANBA	1
MYBPC3	1
MYBL2	1
MANEA	1
COL4A5	1
MYADM	1
MXRA8	1
ADNP	1
CKAP4	1
MXRA7	1
DEPDC1B	1
MXI1	1
ADAM17	1
CKAP2L	1
COLEC11	1
COMMD6	1
MKI67	1
MAN1B1	1
MAL2	1
MAL	1
ACPP	1
MYL6	1
COL18A1	1
ADAM10	1
DGAT2	1
COL20A1	1
CYHR1	1
MYL4	1
MYH9	1
DGAT1	1
ADPGK	1
DERL2	1
COL22A1	1
MYH10	1
CDK9	1
ABHD13	1
MAGED2	1
MAGEH1	1
MAGI1	1
CHAD	1
CHAC2	1
DENND3	1
CXADR	1
COMTD1	1
MAPK9	1
ACADM	1
MAP4K5	1
MAPK15	1
CDYL	1
ADH5	1
DDX20	1
DDX17	1
CITED4	1
CFP	1
DDR2	1
MRC2	1
CORO2B	1
MUSTN1	1
MID1IP1	1
CHST8	1
CORO7	1
MARK1	1
ADCY5	1
MUC5B	1
MARK4	1
MAP4K4	1
CGGBP1	1
ABL1	1
DDX42	1
MIF	1
ABLIM1	1
DDX51	1
MAP2K7	1
MAP3K1	1
MAP3K12	1
COQ10B	1
DDX46	1
CDS1	1
MAP3K14	1
ACAD9	1
CHKA	1
COQ4	1
ABLIM3	1
MAP3K4	1
CGN	1
CDSN	1
MRAS	1
ACACA	1
DDX28	1
MFAP2	1
KPNA1	1
LMNA	1
HYOU1	1
FZD8	1
FZD7	1
HSPA9	1
CACHD1	1
ATG16L1	1
FXYD6	1
HSPBAP1	1
HSPD1	1
FXYD5	1
FXYD2	1
ATF7	1
FUT2	1
FUT10	1
HYI	1
IARS	1
HSPA4	1
ATF2	1
ATAD3A	1
ICA1	1
FUNDC2	1
ATAD2B	1
ICAM2	1
ATAD2	1
ASXL2	1
ASS1	1
ASPM	1
FSTL3	1
CAD	1
IDH3G	1
IDS	1
CABP4	1
HSPA2	1
LMAN2	1
ATP6AP1	1
HOXB5	1
BUB1	1
GATAD2B	1
HPCA	1
HPDL	1
ATP8B3	1
HPS1	1
GAST	1
GAS6	1
ATP6V1C2	1
ATP6V1C1	1
C1QTNF2	1
GARS	1
GAPDH	1
HS1BP3	1
CABLES1	1
ATP2A3	1
ATP2A2	1
GANAB	1
GAMT	1
GALR3	1
GALNT3	1
HSD17B12	1
GALNT14	1
GALNT12	1
ATP13A4	1
GAL	1
ATP13A2	1
ATP11C	1
CABIN1	1
FRYL	1
ASL	1
CALCA	1
CAPN10	1
FLNB	1
IGSF8	1
IKBKB	1
ARMC5	1
FKBP9	1
IKBKG	1
CAPN1	1
IKZF2	1
ARL6IP4	1
ARL6IP1	1
FKBP1A	1
FKBP10	1
IL12RB1	1
FIBP	1
FGR	1
ASGR2	1
IL18	1
IL18BP	1
ARID4A	1
CAPZA2	1
FGFRL1	1
FGFR4	1
IL1R1	1
FGFR2	1
FGFR1OP2	1
FGFR1	1
ARID1A	1
ARHGEF9	1
CARD14	1
ARHGEF4	1
CAP1	1
IGFBP4	1
FLT4	1
IGFBP2	1
FRS3	1
CALM2	1
FRAT2	1
IFI30	1
FRAS1	1
ARTN	1
ART5	1
ART3	1
ART1	1
FOXP4	1
ARSA	1
FOXL2	1
FOXD2	1
ARPC5	1
FOXD1	1
CALML4	1
FOXC1	1
CALR	1
CALR3	1
IFT80	1
ARNTL	1
IFT81	1
CAMK2N2	1
IGBP1	1
FNDC3B	1
FN1	1
CAND1	1
IGF2BP2	1
IGF2R	1
GBA	1
GBGT1	1
HOXA6	1
BAK1	1
GPHA2	1
H2AFY2	1
H3F3A	1
HACE1	1
BAZ1B	1
HAGHL	1
HAP1	1
BARHL1	1
GPBP1L1	1
GPATCH2	1
GP1BB	1
GOLT1B	1
HBS1L	1
GOLGA7	1
HCRTR1	1
GNA14	1
HCST	1
BAIAP2L1	1
HDAC4	1
BEST2	1
BAHD1	1
BGN	1
BICD2	1
GNL2	1
HEATR3	1
HEATR5A	1
HEATR5B	1
HECW2	1
GNE	1
HELLS	1
GPLD1	1
CLDN5	1
GPR119	1
BCR	1
BCAM	1
GPT2	1
BCAR1	1
GRB14	1
GREM2	1
BCAS3	1
GPRC5B	1
BBS5	1
GRP	1
GRPEL2	1
GPRC5A	1
GSG1L	1
GPR84	1
GSTA3	1
GSTK1	1
BCL2L13	1
GSTM2	1
GPR65	1
GPR50	1
GPR180	1
BCL7A	1
BBS2	1
BCL7B	1
BBS12	1
GPR173	1
GPR160	1
BCL9L	1
GUSB	1
GPR137B	1
GNAZ	1
GNA11	1
BTG3	1
GCLM	1
GGT6	1
GGT1	1
HIST1H2BM	1
HIST1H3D	1
BRD1	1
GGA1	1
AXL	1
BRD8	1
GDPD5	1
GDPD1	1
HLF	1
AURKA	1
HLTF	1
GCNT1	1
BRSK2	1
HEPACAM	1
BSPRY	1
GCH1	1
AUP1	1
BTBD10	1
HMGB2	1
HMGCR	1
HMGN1	1
HMGN2	1
ATXN7	1
ATXN3	1
HOMER1	1
BTC	1
BTD	1
HOMER3	1
HIST1H2AA	1
GHDC	1
HIST1H1C	1
HIST1H1B	1
GMPS	1
HERC2	1
BAALC	1
HERPUD1	1
GMPR2	1
BLM	1
HES2	1
GMFG	1
B4GALNT4	1
GM2A	1
HEXA	1
HEXDC	1
HEXIM2	1
HEY1	1
BMI1	1
GLB1L	1
GJB5	1
GJB3	1
HGF	1
HGS	1
GJB2	1
B3GNT3	1
HIF1A	1
GJA1	1
GIT1	1
BMP6	1
HIPK1	1
B3GALNT1	1
BMPR2	1
ARHGEF17	1
ARHGEF16	1
CARS	1
ANK2	1
KLHL20	1
KLHL21	1
KLHL24	1
EIF4G1	1
KLHL28	1
CD163	1
ANKK1	1
EIF4EBP2	1
CD177	1
KLHL5	1
EIF4E	1
KLHL9	1
KLK8	1
EIF2S2	1
KNTC1	1
KRT85	1
GPX4	1
EIF2A	1
EID3	1
KPNB1	1
KRAS	1
EID2	1
CD2AP	1
KRT13	1
KRT16	1
EHMT2	1
AMPH	1
KRT23	1
EHD4	1
CD2BP2	1
KLHL15	1
CCT8	1
CCT7	1
ELF2	1
CCNG1	1
KIF5B	1
EP400	1
EOMES	1
KIF9	1
KIFAP3	1
ENY2	1
KIFC1	1
ENTPD3	1
ANKRD50	1
KLC2	1
ENPP4	1
ENO3	1
CCNYL1	1
KLF12	1
KLF13	1
ANKRD35	1
KLF15	1
ANKRD33	1
KLF16	1
ANKRD24	1
KLF3	1
EMILIN2	1
ELOVL7	1
ELL2	1
CCR5	1
KLHDC2	1
KLHDC3	1
ELF3	1
AMPD3	1
AMOTL1	1
CCNE2	1
DYNLL1	1
ECHS1	1
ALDH7A1	1
ECHDC1	1
ECH1	1
ECEL1	1
LEPROTL1	1
ALDH2	1
E2F6	1
DZIP1L	1
ALDH1L1	1
DYRK3	1
DYRK1B	1
DYNLRB1	1
LHB	1
DYNC2LI1	1
AMN	1
DVL3	1
DVL2	1
CD79A	1
DUSP9	1
LILRB3	1
CD80	1
DUSP14	1
DUSP11	1
CD93	1
AKAP9	1
CDC14B	1
CDC23	1
DTNBP1	1
LITAF	1
ECM1	1
ECT2	1
EDA	1
CD63	1
EHD2	1
AMMECR1	1
CD300LB	1
L2HGDH	1
LAD1	1
CD302	1
CD320	1
ALX4	1
EGLN2	1
CD4	1
ALS2	1
EGFL8	1
LAMA5	1
LAMB2	1
LAMB3	1
LAMC1	1
CD40	1
EFHC1	1
LAMP1	1
LANCL1	1
EDNRA	1
LARP6	1
ALKBH5	1
ALG2	1
ALG1	1
EDEM2	1
ALDOC	1
LAYN	1
EDC3	1
EPC2	1
EPHA2	1
ARHGEF1	1
CCBE1	1
FBXO10	1
CBS	1
IRS1	1
IRX6	1
FBXL18	1
ARFRP1	1
ARFGEF1	1
FBP1	1
CBX3	1
ISOC1	1
FBLIM1	1
ARF6	1
CBX7	1
